Transactions for FY,2021
Date,Currency,Description,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2021-01-28 06:25:43,ETH,"Sold 0.476184 ETH/ZAR @ 20,999",S012,1668a76d,-0.20000000,20012.00,4002.40,4199.80,197.40,0.00
2021-01-28 06:25:43,ETH,"Sold 0.476184 ETH/ZAR @ 20,999",S012,92a9698c,-0.12925034,19611.00,2534.73,2714.13,179.40,0.00
2021-01-28 06:26:40,ETH,"Sold 0.090749 ETH/ZAR @ 20,996",S013,92a9698c,-0.09074900,19611.00,1779.68,1905.36,125.68,0.00
2021-01-28 22:15:57,XBT,"Sold 0.01 BTC/ZAR @ 512,000",S014,cbfadebe,-0.00083154,480999.52,399.97,425.75,25.78,0.00
2021-01-28 22:15:57,XBT,"Sold 0.01 BTC/ZAR @ 512,000",S014,96b1c5a2,-0.00849200,470999.76,3999.73,4347.90,348.17,0.00
2021-01-28 22:15:57,XBT,"Sold 0.01 BTC/ZAR @ 512,000",S014,dd1f1f27,-0.00067646,460999.31,311.85,346.35,34.50,0.00
2021-01-29 08:54:45,XBT,"Sold 0.00998 BTC/ZAR @ 536,070",S015,dd1f1f27,-0.00799954,460999.31,3687.78,4288.31,600.52,0.00
2021-01-29 08:54:45,XBT,"Sold 0.00998 BTC/ZAR @ 536,070",S015,030647e5,-0.00198046,450998.99,893.19,1061.66,168.48,0.00
2021-01-29 08:58:12,XBT,"Sold 0.023205 BTC/ZAR @ 538,000",S016,030647e5,-0.00688854,450998.99,3106.72,3706.03,599.31,0.00
2021-01-29 08:58:12,XBT,"Sold 0.023205 BTC/ZAR @ 538,000",S016,a924a2f1,-0.00998000,501000.00,4999.98,5369.24,369.26,0.00
2021-01-29 08:58:12,XBT,"Sold 0.023205 BTC/ZAR @ 538,000",S016,7d9c3c56,-0.00198900,493499.25,981.57,1070.08,88.51,0.00
2021-01-29 08:58:12,XBT,"Sold 0.023205 BTC/ZAR @ 538,000",S016,e410a5ed,-0.00434746,493499.15,2145.47,2338.93,193.47,0.00
2021-01-29 09:02:47,XBT,"Sold 0.007285 BTC/ZAR @ 549,000",S017,e410a5ed,-0.00566354,493499.15,2794.95,3109.28,314.33,0.00
2021-01-29 09:02:47,XBT,"Sold 0.007285 BTC/ZAR @ 549,000",S017,83955adc,-0.00162146,488565.00,792.19,890.18,97.99,0.00
2021-01-29 09:23:18,XBT,"Sold 0.001055 BTC/ZAR @ 559,000",S018,83955adc,-0.00105500,488565.00,515.44,589.74,74.30,0.00
2021-01-29 09:23:32,XBT,"Sold 0.0061 BTC/ZAR @ 559,000",S019,83955adc,-0.00610000,488565.00,2980.25,3409.90,429.65,0.00
2021-01-29 09:28:49,XBT,"Sold 0.005272 BTC/ZAR @ 569,000",S020,83955adc,-0.00322354,488565.00,1574.91,1834.19,259.28,0.00
2021-01-29 09:28:49,XBT,"Sold 0.005272 BTC/ZAR @ 569,000",S020,890f92c9,-0.00100000,488560.00,488.56,569.00,80.44,0.00
2021-01-29 09:28:49,XBT,"Sold 0.005272 BTC/ZAR @ 569,000",S020,bce696a4,-0.00104846,483678.84,507.12,596.57,89.45,0.00
2021-01-29 11:40:50,XBT,"Sold 0.006692 BTC/ZAR @ 564,745",S021,bce696a4,-0.00669200,483678.84,3236.78,3779.27,542.49,0.00
2021-01-29 11:40:50,XBT,"Fee for Sold 0.006692 BTC/ZAR @ 564,745",S021,,,,,,,3.38
2021-01-29 12:59:19,XBT,"Sold 0.005317 BTC/ZAR @ 577,000",S022,bce696a4,-0.00430954,483678.84,2084.43,2486.60,402.16,0.00
2021-01-29 12:59:19,XBT,"Sold 0.005317 BTC/ZAR @ 577,000",S022,19c5d328,-0.00100746,483676.92,487.29,581.30,94.02,0.00
2021-01-29 13:49:58,XBT,"Sold 0.006908 BTC/ZAR @ 579,000",S023,19c5d328,-0.00094254,483676.92,455.88,545.73,89.85,0.00
2021-01-29 13:49:58,XBT,"Sold 0.006908 BTC/ZAR @ 579,000",S023,5e2b3c6d,-0.00596546,478842.31,2856.51,3454.00,597.48,0.00
2021-01-30 10:39:18,XRP,Sold 3.00 XRP/ZAR @ 4.98,S024,0237ff1f,-3.00000000,4.00,12.00,14.94,2.94,0.00
2021-01-30 10:39:20,XRP,Sold 101.00 XRP/ZAR @ 4.98,S025,0237ff1f,-101.00000000,4.00,404.00,502.98,98.98,0.00
2021-01-30 10:39:20,XRP,Sold 99.00 XRP/ZAR @ 4.98,S026,0237ff1f,-99.00000000,4.00,396.00,493.02,97.02,0.00
2021-01-30 10:39:22,XRP,Sold 20.00 XRP/ZAR @ 4.98,S027,0237ff1f,-20.00000000,4.00,80.00,99.60,19.60,0.00
2021-01-30 10:39:22,XRP,Sold 99.00 XRP/ZAR @ 4.98,S028,0237ff1f,-99.00000000,4.00,396.00,493.02,97.02,0.00
2021-01-30 10:39:26,XRP,Sold 104.00 XRP/ZAR @ 4.98,S029,0237ff1f,-104.00000000,4.00,416.00,517.92,101.92,0.00
2021-01-30 10:39:27,XRP,Sold 824.00 XRP/ZAR @ 4.98,S030,0237ff1f,-128.00000000,4.00,512.00,637.44,125.44,0.00
2021-01-30 10:39:27,XRP,Sold 824.00 XRP/ZAR @ 4.98,S030,b2bc8fa6,-696.00000000,4.00,2784.00,3466.08,682.08,0.00
2021-02-01 09:00:19,XBT,"Sold 0.01 BTC/ZAR @ 535,900",S031,5e2b3c6d,-0.00703454,478842.31,3368.44,3769.81,401.37,0.00
2021-02-01 09:00:19,XBT,"Sold 0.01 BTC/ZAR @ 535,900",S031,780fa87b,-0.00296546,471660.00,1398.69,1589.19,190.50,0.00
2021-02-01 09:07:16,XBT,"Sold 0.01 BTC/ZAR @ 541,000",S032,780fa87b,-0.01000000,471660.00,4716.60,5410.00,693.40,0.00
2021-02-01 10:30:54,XBT,"Sold 0.01 BTC/ZAR @ 539,000",S033,780fa87b,-0.00203454,471660.00,959.61,1096.62,137.01,0.00
2021-02-01 10:30:54,XBT,"Sold 0.01 BTC/ZAR @ 539,000",S033,06aa0fd4,-0.00796546,492822.00,3925.55,4293.38,367.83,0.00
2021-02-02 00:15:32,ETH,"Sold 0.20 ETH/ZAR @ 21,750",S034,92a9698c,-6.6E-7,19611.00,0.01,0.01,0.00,0.00
2021-02-02 00:15:32,ETH,"Sold 0.20 ETH/ZAR @ 21,750",S034,36d8ebc8,-0.07732200,20149.89,1558.03,1681.75,123.72,0.00
2021-02-02 00:15:32,ETH,"Sold 0.20 ETH/ZAR @ 21,750",S034,7635f641,-0.12267734,20149.99,2471.95,2668.23,196.29,0.00
2021-02-02 09:07:28,XBT,"Sold 0.004995 BTC/ZAR @ 543,523",S035,06aa0fd4,-0.00203454,492822.00,1002.67,1105.82,103.15,0.00
2021-02-02 09:07:28,XBT,"Sold 0.004995 BTC/ZAR @ 543,523",S035,65eed7d3,-0.00296046,490357.10,1451.68,1609.07,157.39,0.00
2021-02-02 09:07:28,XBT,"Fee for Sold 0.004995 BTC/ZAR @ 543,523",S035,,,,,,,2.17
2021-02-02 09:16:23,ETH,"Sold 0.097614 ETH/ZAR @ 22,322",S036,7635f641,-6.6E-7,20149.99,0.01,0.01,0.00,0.00
2021-02-02 09:16:23,ETH,"Sold 0.097614 ETH/ZAR @ 22,322",S036,ae323796,-0.09761334,20100.00,1962.03,2178.92,216.89,0.00
2021-02-02 09:16:36,ETH,"Sold 0.079502 ETH/ZAR @ 22,322",S037,ae323796,-0.07950200,20100.00,1597.99,1774.64,176.65,0.00
2021-02-02 09:16:37,ETH,"Sold 0.022684 ETH/ZAR @ 22,322",S038,ae323796,-0.02268400,20100.00,455.95,506.35,50.40,0.00
2021-02-02 09:19:43,XBT,"Sold 0.009843 BTC/ZAR @ 549,997",S039,65eed7d3,-0.00451654,490357.10,2214.72,2484.08,269.37,0.00
2021-02-02 09:19:43,XBT,"Sold 0.009843 BTC/ZAR @ 549,997",S039,aa875f4c,-0.00252300,490356.72,1237.17,1387.64,150.47,0.00
2021-02-02 09:19:43,XBT,"Sold 0.009843 BTC/ZAR @ 549,997",S039,717c5c94,-0.00280346,532000.00,1491.44,1541.89,50.45,0.00
2021-02-02 09:19:43,XBT,"Fee for Sold 0.009843 BTC/ZAR @ 549,997",S039,,,,,,,4.94
2021-02-02 09:28:10,XBT,"Sold 0.009991 BTC/ZAR @ 547,000",S040,717c5c94,-0.00219654,532000.00,1168.56,1201.51,32.95,0.00
2021-02-02 09:28:10,XBT,"Sold 0.009991 BTC/ZAR @ 547,000",S040,481cac38,-0.00500000,528000.00,2640.00,2735.00,95.00,0.00
2021-02-02 09:28:10,XBT,"Sold 0.009991 BTC/ZAR @ 547,000",S040,ce521649,-0.00279446,525100.00,1467.37,1528.57,61.20,0.00
2021-02-02 09:28:10,XBT,"Fee for Sold 0.009991 BTC/ZAR @ 547,000",S040,,,,,,,4.92
2021-02-03 00:26:52,XBT,"Sold 0.00841 BTC/ZAR @ 554,900",S041,ce521649,-0.00220554,525100.00,1158.13,1223.85,65.72,0.00
2021-02-03 00:26:52,XBT,"Sold 0.00841 BTC/ZAR @ 554,900",S041,3b6695ab,-0.00620446,521000.00,3232.52,3442.85,210.32,0.00
2021-02-04 00:00:36,XBT,"Sold 0.015001 BTC/ZAR @ 577,000",S042,3b6695ab,-0.00379554,521000.00,1977.48,2190.02,212.55,0.00
2021-02-04 00:00:36,XBT,"Sold 0.015001 BTC/ZAR @ 577,000",S042,f30a85c1,-0.00500000,516000.00,2580.00,2885.00,305.00,0.00
2021-02-04 00:00:36,XBT,"Sold 0.015001 BTC/ZAR @ 577,000",S042,56d57b24,-0.00620546,511000.00,3170.99,3580.55,409.56,0.00
2021-02-04 06:20:04,XBT,"Sold 0.006118 BTC/ZAR @ 584,000",S043,56d57b24,-0.00379454,511000.00,1939.01,2216.01,277.00,0.00
2021-02-04 06:20:04,XBT,"Sold 0.006118 BTC/ZAR @ 584,000",S043,7c5617f5,-0.00232346,506000.00,1175.67,1356.90,181.23,0.00
2021-02-04 06:44:04,XBT,"Sold 0.00764 BTC/ZAR @ 589,000",S044,7c5617f5,-0.00764000,506000.00,3865.84,4499.96,634.12,0.00
2021-02-06 06:13:00,ETH,"Sold 0.10 ETH/ZAR @ 25,425",S045,ae323796,-0.00020066,20100.00,4.03,5.10,1.07,0.00
2021-02-06 06:13:00,ETH,"Sold 0.10 ETH/ZAR @ 25,425",S045,64b21861,-0.09979934,25650.00,2559.85,2537.40,-22.45,0.00
2021-02-06 06:13:00,ETH,"Fee for Sold 0.10 ETH/ZAR @ 25,425",S045,,,,,,,2.53
2021-02-06 06:19:23,ETH,"Sold 0.10 ETH/ZAR @ 25,501",S046,64b21861,-0.00020066,25650.00,5.15,5.12,-0.03,0.00
2021-02-06 06:19:23,ETH,"Sold 0.10 ETH/ZAR @ 25,501",S046,ef4eca27,-0.09979934,25300.00,2524.92,2544.98,20.06,0.00
2021-02-06 06:19:23,ETH,"Fee for Sold 0.10 ETH/ZAR @ 25,501",S046,,,,,,,2.54
2021-02-09 06:32:20,XBT,"Fee for Bought 0.01 BTC/ZAR @ 720,102",,,,,,,,7.21
2021-02-09 06:34:57,XBT,"Sold 0.006 BTC/ZAR @ 718,014",S047,7c5617f5,-0.00003654,506000.00,18.49,26.24,7.75,0.00
2021-02-09 06:34:57,XBT,"Sold 0.006 BTC/ZAR @ 718,014",S047,d0d10841,-0.00596346,720102.00,4294.30,4281.84,-12.46,0.00
2021-02-09 06:34:57,XBT,"Sold 0.0015 BTC/ZAR @ 718,019",S048,d0d10841,-0.00150000,720102.00,1080.15,1077.02,-3.13,0.00
