Financial Year,Trans Ref,Date,Description,Type,Lot Reference,Qty Change,Balance Units,Total Cost (ZAR),Balance Value (ZAR),Fee (ZAR),Proceeds (ZAR),Profit (ZAR),Unit Cost (ZAR)
FY2017,b98eb80d,2017-08-28 21:43:03,"Bought BTC 0.15934 for ZAR 10,000.00",in_buy_for_other,in_buy_for_other_231126a25de1d7,0.15934,0.15934,10000,10000.0000000000000000048,0,0,0,62758.88038157399272
FY2017,037b4604,2017-08-28 22:09:07,Test Transaction,out_other,in_buy_for_other_231126a25de1d7,-0.00162595,0.15771405,0,9897.957198443579766541716,0,99.99,-2.052801556420233463084,62758.88038157399272
FY2017,037b4604,2017-08-28 22:09:07,Bitcoin send fee,out_other,in_buy_for_other_231126a25de1d7,-0.00149004,0.15622401,0,9804.4439563198192544292072,0,91.64,-1.8732421237605121125088,62758.88038157399272
FY2017,7481d775,2017-08-30 20:32:21,all bitcoin,out_other,in_buy_for_other_231126a25de1d7,-0.15622401,0,0,0,0,9967.4,162.9560436801807455707928,62758.88038157399272
FY2017,b4ca59cc,2017-09-02 00:13:39,"Bought BTC 0.07241 for ZAR 5,000.00",in_buy_for_other,in_buy_for_other_70eecd7222ea0a,0.07241,0.07241,5000,4999.999999999999999996602,0,0,0,69051.2360171247065322
FY2017,651305a8,2017-09-02 00:13:40,Ants bitcoin,out_other,in_buy_for_other_70eecd7222ea0a,-0.07162321,0.00078679,0,54.328821985913547852469638,0,4846.67,-99.001178014086452144132362,69051.2360171247065322
FY2017,651305a8,2017-09-02 00:13:40,Bitcoin send fee,out_other,in_buy_for_other_70eecd7222ea0a,-0.00078679,0,0,0,0,53.24,-1.088821985913547852469638,69051.2360171247065322
FY2017,975ad480,2017-09-04 18:43:08,"Bought BTC 0.07758 for ZAR 5,000.00",in_buy_for_other,in_buy_for_other_fbd744fe5afd25,0.07758,0.07758,5000,5000.000000000000000003442,0,0,0,64449.6004124774426399
FY2017,12a372f1,2017-09-04 18:43:10,ants 2nd half,out_other,in_buy_for_other_fbd744fe5afd25,-0.07666183,0.00091817,0,59.175689610724413508676983,0,4848.63,-92.194310389275586494765017,64449.6004124774426399
FY2017,12a372f1,2017-09-04 18:43:10,Bitcoin send fee,out_other,in_buy_for_other_fbd744fe5afd25,-0.00091817,0,0,0,0,58.07,-1.105689610724413508676983,64449.6004124774426399
FY2017,b00e5f81,2017-11-01 10:38:18,"Bought BTC 0.04741216 for ZAR 5,000.00",in_buy_for_other,in_buy_for_other_9bd2dbf312c1dd,0.04741216,0.04741216,5000,4999.999999999999999998336992,0,0,0,105458.1778176737782037
