Financial Year,Trans Ref,Date,Description,Type,Lot Reference,Qty Change,Balance Units,Total Cost (ZAR),Balance Value (ZAR),Fee (ZAR),Proceeds (ZAR),Profit (ZAR),Unit Cost (ZAR)
FY2023,1ff28d5d,2023-12-08 14:10:39,Received Ethereum into Ethereum from Bittrex,in_other,in_other_XXXXXXX,0.007,0.007,316.62,316.6200000000000000002,0,0,0,45231.4285714285714286
FY2023,769c2bd4,2023-12-08 14:39:49,Received Ethereum into Ethereum from Bittrex,in_other,in_other_XXXXXXX,2.987,2.994,135143.12,135459.8263408101774354396,0,0,0,45243.7629728824907934
FY2025,1be52889,2025-04-10 12:41:40,"Bought 2.00 ETH/ZAR @ 31,420",in_buy,in_buy_XXXXXXX,2,4.994,62840,156911.48,0,0,0,31420
FY2025,1be52889,2025-04-10 12:41:40,Trading fee,out_other,in_other_5f97401,-0.007,4.987,0,225569.1342857142857144282,0,219.31875,-97.3012500000000000002,45231.4285714285714286
FY2025,1be52889,2025-04-10 12:41:40,Trading fee,out_other,in_other_523707c,-0.001,4.986,0,225585.4021827920990958924,0,31.33125,-13.9125129728824907934,45243.7629728824907934
