FY,Losses Proceeds (ZAR),Losses Base Cost (ZAR),Losses Gain/Loss (ZAR),Gains Proceeds (ZAR),Gains Base Cost (ZAR),Gains Gain/Loss (ZAR),Net Gain/Loss (ZAR),Total Coin Value (ZAR),BCH Units,BCH Value (ZAR),ETH Units,ETH Value (ZAR),XBT Units,XBT Value (ZAR),XRP Units,XRP Value (ZAR),LTC Units,LTC Value (ZAR)
2021,50299.21,51565.28,-1266.08,198905.93,179993.09,18912.88,17646.80,124709.19,0.01531969,100.00,1.80412166,44196.36,0.06018854,43492.16,2539.88100000,18926.52,6.00111743,17994.15
2022,443105.77,571961.82,-128856.06,808755.41,668034.63,140720.78,11864.72,191517.17,1.15497969,16630.69,1.28734805,49882.22,0.04991380,26375.38,6804.17000000,98641.81,0.00000000,-12.93
2023,117650.42,168476.76,-50826.34,136946.81,107006.26,29940.54,-20885.80,196394.65,1.15497969,16630.69,2.50000274,64619.80,0.03446370,14310.38,8775.17000000,100732.31,0.13520000,101.47
2024,53706.94,65412.34,-11705.40,231206.43,154028.22,77178.21,65472.81,47189.79,1.15497969,16630.69,1.00600027,30794.92,0.00002029,-117.21,0.14500000,-72.04,0.00008830,-46.57
2025,11511.14,16459.90,-4948.76,71838.96,35431.63,36407.33,31458.57,-792.31,0.00222209,33.62,0.00000087,-551.55,0.00002029,-117.21,0.67500000,-110.60,0.00008830,-46.57
2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77176.67,0.00222209,33.62,2.09290093,71330.41,0.00000000,529.68,0.67500000,-110.60,3.98408830,5393.56
