Boughts for FY,2024
Date,Currency,Description,Trans Ref,Lot Ref,Qty Bought,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2023-03-03 01:30:36,XBT,"Bought 0.008593 BTC/ZAR @ 419,000",B900,301453e1,0.00859300,418999.19,3600.46,0.00,0.00,0.00
2023-03-03 01:30:37,XBT,"Bought 0.001407 BTC/ZAR @ 419,000",B901,7739778a,0.00140700,418997.87,589.53,0.00,0.00,0.00
2023-03-03 01:32:29,ETH,"Bought 0.30 ETH/ZAR @ 28,400",B902,32ba6fc0,0.30000000,28400.00,8520.00,0.00,0.00,0.00
2023-04-19 08:22:31,XRP,"Bought 1,000.00 XRP/ZAR @ 9.35",B903,66c80d2e,1000.00000000,9.35,9350.00,0.00,0.00,0.00
2023-04-19 08:22:37,LTC,"Bought 1.00 LTC/ZAR @ 1,805",B904,96cecc32,1.00000000,1805.00,1805.00,0.00,0.00,0.00
2023-04-20 04:34:35,LTC,"Bought 0.9411 LTC/ZAR @ 1,699",B905,a7ac58d0,0.94110000,1698.99,1598.92,0.00,0.00,0.00
2023-04-20 04:34:35,LTC,"Bought 1.0589 LTC/ZAR @ 1,699",B906,933474d5,1.05890000,1699.00,1799.07,0.00,0.00,0.00
2023-04-20 04:35:48,LTC,"Bought 1.1232 LTC/ZAR @ 1,699",B907,66cdce3e,1.12320000,1698.99,1908.31,0.00,0.00,0.00
2023-04-20 04:35:48,LTC,"Bought 1.8768 LTC/ZAR @ 1,699",B908,26de0ee6,1.87680000,1699.00,3188.68,0.00,0.00,0.00
2023-04-20 04:54:47,ETH,"Bought 0.20 ETH/ZAR @ 36,498",B909,f5cce330,0.20000000,36498.00,7299.60,0.00,0.00,0.00
2023-06-10 07:03:40,XRP,"Bought 1,000.00 XRP/ZAR @ 9.40",B910,c314939c,1000.00000000,9.40,9400.00,0.00,0.00,0.00
2023-06-13 00:01:15,LTC,"Bought 2.00 LTC/ZAR @ 1,465",B911,ea34b344,2.00000000,1465.00,2930.00,0.00,0.00,0.00
2023-06-13 00:03:20,ETH,"Bought 0.007 ETH/ZAR @ 32,944",B912,03f8a445,0.00700000,32942.86,230.60,0.00,0.00,0.00
2023-06-13 00:03:20,ETH,"Bought 0.193 ETH/ZAR @ 32,949",B913,3a87c193,0.19300000,32948.96,6359.15,0.00,0.00,0.00
2023-06-13 00:06:20,XBT,"Bought 0.01 BTC/ZAR @ 489,522",B914,bb53c0e3,0.01000000,489522.00,4895.22,0.00,0.00,0.00
2023-06-14 20:05:45,LTC,"Bought 2.00 LTC/ZAR @ 1,420",B915,5729d854,2.00000000,1420.00,2840.00,0.00,0.00,0.00
2023-07-12 19:17:12,XRP,Bought 500.00 XRP/ZAR @ 8.83,B916,9d68e351,500.00000000,8.83,4415.00,0.00,0.00,0.00

Solds for FY,2024
Date,Currency,Description,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2023-04-13 19:52:08,ETH,"Sold 0.0269 ETH/ZAR @ 37,130",S714,9d6b31e0,-0.02690000,24789.97,666.85,998.79,331.94,0.00
2023-04-13 22:35:49,ETH,"Sold 0.2731 ETH/ZAR @ 37,130",S715,9d6b31e0,-0.15731619,24789.97,3899.86,5841.15,1941.29,0.00
2023-04-13 22:35:49,ETH,"Sold 0.2731 ETH/ZAR @ 37,130",S715,8e3ce14d,-0.00411000,24652.07,101.32,152.60,51.28,0.00
2023-04-13 22:35:49,ETH,"Sold 0.2731 ETH/ZAR @ 37,130",S715,3d92187d,-0.11167381,24653.00,2753.09,4146.45,1393.35,0.00
2023-04-14 05:27:35,ETH,"Sold 0.30 ETH/ZAR @ 38,970",S716,3d92187d,-0.30000000,24653.00,7395.90,11691.00,4295.10,0.00
2023-04-14 09:16:59,ETH,"Sold 0.20 ETH/ZAR @ 39,071",S717,3d92187d,-0.08890219,24653.00,2191.71,3473.50,1281.79,0.00
2023-04-14 09:16:59,ETH,"Sold 0.20 ETH/ZAR @ 39,071",S717,f257e970,-0.11109781,25881.98,2875.43,4340.70,1465.27,0.00
2023-04-18 23:06:06,XRP,Sold 500.00 XRP/ZAR @ 9.95,S718,966e06a7,-500.00000000,14.74,7370.00,4975.00,-2395.00,0.00
2023-05-28 06:16:45,XBT,"Sold 0.01 BTC/ZAR @ 538,000",S719,37439f7e,-0.00274823,491000.00,1349.38,1478.55,129.17,0.00
2023-05-28 06:16:45,XBT,"Sold 0.01 BTC/ZAR @ 538,000",S719,3ee28fec,-0.00500000,481000.00,2405.00,2690.00,285.00,0.00
2023-05-28 06:16:45,XBT,"Sold 0.01 BTC/ZAR @ 538,000",S719,30db982b,-0.00225177,555000.00,1249.73,1211.45,-38.28,0.00
2023-05-30 00:30:24,XRP,"Sold 1,000.00 XRP/ZAR @ 9.89",S720,966e06a7,-1000.00000000,14.74,14740.00,9890.00,-4850.00,0.00
2023-05-30 03:28:48,ETH,"Sold 0.20 ETH/ZAR @ 37,769",S721,f257e970,-0.00556019,25881.98,143.91,210.00,66.09,0.00
2023-05-30 03:28:48,ETH,"Sold 0.20 ETH/ZAR @ 37,769",S721,0af07b8e,-0.19443981,25881.99,5032.49,7343.80,2311.31,0.00
2023-05-30 03:30:32,XBT,"Sold 0.01 BTC/ZAR @ 552,993",S722,30db982b,-0.00174823,555000.00,970.27,966.76,-3.51,0.00
2023-05-30 03:30:32,XBT,"Sold 0.01 BTC/ZAR @ 552,993",S722,e2767830,-0.00266000,641000.00,1705.06,1470.96,-234.10,0.00
2023-05-30 03:30:32,XBT,"Sold 0.01 BTC/ZAR @ 552,993",S722,425b3f8f,-0.00034000,641000.00,217.94,188.02,-29.92,0.00
2023-05-30 03:30:32,XBT,"Sold 0.01 BTC/ZAR @ 552,993",S722,326ce2b3,-0.00525177,335762.86,1763.35,2904.19,1140.84,0.00
2023-05-30 03:32:06,LTC,"Sold 1.00 LTC/ZAR @ 1,814",S723,a251fb02,-0.02462435,998.99,24.60,44.67,20.07,0.00
2023-05-30 03:32:06,LTC,"Sold 1.00 LTC/ZAR @ 1,814",S723,d5681de1,-0.00800000,998.75,7.99,14.51,6.52,0.00
2023-05-30 03:32:06,LTC,"Sold 1.00 LTC/ZAR @ 1,814",S723,9f8ba4b5,-0.00440000,997.73,4.39,7.98,3.59,0.00
2023-05-30 03:32:06,LTC,"Sold 1.00 LTC/ZAR @ 1,814",S723,fea0a848,-0.00100000,990.00,0.99,1.81,0.82,0.00
2023-05-30 03:32:06,LTC,"Sold 1.00 LTC/ZAR @ 1,814",S723,90a6becd,-0.00400000,997.50,3.99,7.26,3.27,0.00
2023-05-30 03:32:06,LTC,"Sold 1.00 LTC/ZAR @ 1,814",S723,5dbc6362,-0.10110000,998.91,100.99,183.40,82.41,0.00
2023-05-30 03:32:06,LTC,"Sold 1.00 LTC/ZAR @ 1,814",S723,4bef59a3,-0.01670000,998.80,16.68,30.29,13.61,0.00
2023-05-30 03:32:06,LTC,"Sold 1.00 LTC/ZAR @ 1,814",S723,96cecc32,-0.84017565,1805.00,1516.52,1524.08,7.56,0.00
2023-05-30 16:08:00,XRP,Sold 750.00 XRP/ZAR @ 10.25,S724,966e06a7,-217.00000000,14.74,3198.58,2224.25,-974.33,0.00
2023-05-30 16:08:00,XRP,Sold 750.00 XRP/ZAR @ 10.25,S724,dc8ba892,-300.00000000,12.05,3615.00,3075.00,-540.00,0.00
2023-05-30 16:08:00,XRP,Sold 750.00 XRP/ZAR @ 10.25,S724,810057c9,-233.00000000,12.05,2807.65,2388.25,-419.40,0.00
2023-05-30 17:18:58,XRP,Sold 239.00 XRP/ZAR @ 10.45,S725,810057c9,-239.00000000,12.05,2879.95,2497.55,-382.40,0.00
2023-05-30 17:25:53,XRP,Sold 761.00 XRP/ZAR @ 10.45,S726,810057c9,-228.00000000,12.05,2747.40,2382.60,-364.80,0.00
2023-05-30 17:25:53,XRP,Sold 761.00 XRP/ZAR @ 10.45,S726,1d22a0b2,-533.00000000,11.81,6294.73,5569.85,-724.88,0.00
2023-06-01 16:26:03,LTC,"Sold 1.00 LTC/ZAR @ 1,895",S727,96cecc32,-0.15982435,1805.00,288.48,302.87,14.38,0.00
2023-06-01 16:26:03,LTC,"Sold 1.00 LTC/ZAR @ 1,895",S727,a7ac58d0,-0.84017565,1698.99,1427.45,1592.13,164.68,0.00
2023-06-21 15:29:25,XBT,"Sold 0.01 BTC/ZAR @ 559,000",S728,326ce2b3,-0.00174823,335762.86,586.99,977.26,390.27,0.00
2023-06-21 15:29:25,XBT,"Sold 0.01 BTC/ZAR @ 559,000",S728,143f3fa8,-0.00310000,335819.35,1041.04,1732.90,691.86,0.00
2023-06-21 15:29:25,XBT,"Sold 0.01 BTC/ZAR @ 559,000",S728,b538a699,-0.00100000,332920.00,332.92,559.00,226.08,0.00
2023-06-21 15:29:25,XBT,"Sold 0.01 BTC/ZAR @ 559,000",S728,5aec14d6,-0.00415177,332608.89,1380.92,2320.84,939.92,0.00
2023-06-21 15:39:40,XBT,"Sold 0.004282 BTC/ZAR @ 557,981",S729,5aec14d6,-0.00428200,332608.89,1424.23,2389.27,965.04,0.00
2023-06-22 02:34:41,ETH,"Sold 0.169922 ETH/ZAR @ 35,928",S730,0af07b8e,-0.16992200,25881.99,4397.92,6104.95,1707.03,0.00
