FY,Losses Proceeds (ZAR),Losses Base Cost (ZAR),Losses Gain/Loss (ZAR),Gains Proceeds (ZAR),Gains Base Cost (ZAR),Gains Gain/Loss (ZAR),Net Gain/Loss (ZAR),Total Coin Value (ZAR),BCH Units,BCH Value (ZAR),ETH Units,ETH Value (ZAR),XBT Units,XBT Value (ZAR),XRP Units,XRP Value (ZAR)
2021,49431.98,50565.28,-1133.31,160680.35,144837.66,15842.71,14709.40,106773.66,0.01531969,100.00,1.80412166,44204.39,0.06018854,43541.76,2539.88100000,18927.51
2022,410347.42,535316.34,-124968.91,712389.77,585763.59,126626.13,1657.22,192853.47,1.15497969,16635.96,1.28734805,50945.45,0.04991380,26455.59,6804.17000000,98816.47
2023,117650.42,168262.61,-50612.19,136946.81,107006.26,29940.54,-20671.65,197961.98,1.15497969,16635.96,2.50000274,65794.20,0.03446370,14615.16,8775.17000000,100916.66
2024,53706.94,65412.34,-11705.40,210976.50,137908.11,73068.38,61362.98,49301.08,1.15497969,16635.96,1.00600027,32202.51,0.00002029,277.18,0.14500000,185.43
2025,11511.14,16459.90,-4948.76,71838.96,35431.63,36407.33,31458.57,1664.57,0.00222209,76.07,0.00000087,1090.06,0.00002029,277.18,0.67500000,221.26
2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75203.32,0.00222209,76.07,2.09290093,73217.29,0.00000000,1688.70,0.67500000,221.26
