Transactions for FY,2022
Date,Currency,Description,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2021-03-03 10:26:26,XBT,"Sold 0.001459 BTC/ZAR @ 788,875",S056,240cd3d5,-0.00145900,722000.00,1053.40,1150.96,97.56,0.00
2021-03-03 11:20:34,XBT,"Sold 0.0015 BTC/ZAR @ 795,000",S057,240cd3d5,-0.00150000,722000.00,1083.00,1192.50,109.50,0.00
2021-03-03 12:39:21,ETH,"Sold 0.05 ETH/ZAR @ 24,840",S058,ef4eca27,-0.00020066,25300.00,5.08,4.98,-0.09,0.00
2021-03-03 12:39:21,ETH,"Sold 0.05 ETH/ZAR @ 24,840",S058,cf7b915f,-0.02099100,25449.95,534.22,521.42,-12.80,0.00
2021-03-03 12:39:21,ETH,"Sold 0.05 ETH/ZAR @ 24,840",S058,9a99282c,-0.02880834,25449.91,733.17,715.60,-17.57,0.00
2021-03-06 18:03:41,ETH,"Sold 0.05 ETH/ZAR @ 25,200",S059,9a99282c,-0.01828966,25449.91,465.47,460.90,-4.57,0.00
2021-03-06 18:03:41,ETH,"Sold 0.05 ETH/ZAR @ 25,200",S059,286f6d1a,-0.03171034,25449.84,807.02,799.10,-7.92,0.00
2021-03-06 18:18:33,ETH,"Sold 0.05 ETH/ZAR @ 25,251",S060,286f6d1a,-0.00020066,25449.84,5.11,5.07,-0.04,0.00
2021-03-06 18:18:33,ETH,"Sold 0.05 ETH/ZAR @ 25,251",S060,068b3f2a,-0.04979934,25501.00,1269.93,1257.48,-12.45,0.00
2021-03-06 18:19:50,ETH,"Sold 0.05 ETH/ZAR @ 25,282",S061,068b3f2a,-0.05000000,25501.00,1275.05,1264.10,-10.95,0.00
2021-03-06 20:59:51,ETH,"Sold 0.05 ETH/ZAR @ 25,967",S062,068b3f2a,-0.00020066,25501.00,5.12,5.21,0.09,0.00
