Transactions for FY,2024
Date,Currency,Description,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2023-04-13 19:52:08,ETH,"Sold 0.0269 ETH/ZAR @ 37,130",S563,9d6b31e0,-0.02690000,24789.97,666.85,998.79,331.94,0.00
2023-04-13 22:35:49,ETH,"Sold 0.2731 ETH/ZAR @ 37,130",S564,9d6b31e0,-0.15731619,24789.97,3899.86,5841.15,1941.29,0.00
2023-04-13 22:35:49,ETH,"Sold 0.2731 ETH/ZAR @ 37,130",S564,8e3ce14d,-0.00411000,24652.07,101.32,152.60,51.28,0.00
2023-04-13 22:35:49,ETH,"Sold 0.2731 ETH/ZAR @ 37,130",S564,3d92187d,-0.11167381,24653.00,2753.09,4146.45,1393.35,0.00
2023-04-14 05:27:35,ETH,"Sold 0.30 ETH/ZAR @ 38,970",S565,3d92187d,-0.30000000,24653.00,7395.90,11691.00,4295.10,0.00
2023-04-14 09:16:59,ETH,"Sold 0.20 ETH/ZAR @ 39,071",S566,3d92187d,-0.08890219,24653.00,2191.71,3473.50,1281.79,0.00
2023-04-14 09:16:59,ETH,"Sold 0.20 ETH/ZAR @ 39,071",S566,f257e970,-0.11109781,25881.98,2875.43,4340.70,1465.27,0.00
2023-04-18 23:06:06,XRP,Sold 500.00 XRP/ZAR @ 9.95,S567,966e06a7,-500.00000000,14.74,7370.00,4975.00,-2395.00,0.00
2023-05-28 06:16:45,XBT,"Sold 0.01 BTC/ZAR @ 538,000",S568,37439f7e,-0.00274823,491000.00,1349.38,1478.55,129.17,0.00
2023-05-28 06:16:45,XBT,"Sold 0.01 BTC/ZAR @ 538,000",S568,3ee28fec,-0.00500000,481000.00,2405.00,2690.00,285.00,0.00
2023-05-28 06:16:45,XBT,"Sold 0.01 BTC/ZAR @ 538,000",S568,30db982b,-0.00225177,555000.00,1249.73,1211.45,-38.28,0.00
2023-05-30 00:30:24,XRP,"Sold 1,000.00 XRP/ZAR @ 9.89",S569,966e06a7,-1000.00000000,14.74,14740.00,9890.00,-4850.00,0.00
2023-05-30 03:28:48,ETH,"Sold 0.20 ETH/ZAR @ 37,769",S570,f257e970,-0.00556019,25881.98,143.91,210.00,66.09,0.00
2023-05-30 03:28:48,ETH,"Sold 0.20 ETH/ZAR @ 37,769",S570,0af07b8e,-0.19443981,25881.99,5032.49,7343.80,2311.31,0.00
2023-05-30 03:30:32,XBT,"Sold 0.01 BTC/ZAR @ 552,993",S571,30db982b,-0.00174823,555000.00,970.27,966.76,-3.51,0.00
2023-05-30 03:30:32,XBT,"Sold 0.01 BTC/ZAR @ 552,993",S571,e2767830,-0.00266000,641000.00,1705.06,1470.96,-234.10,0.00
2023-05-30 03:30:32,XBT,"Sold 0.01 BTC/ZAR @ 552,993",S571,425b3f8f,-0.00034000,641000.00,217.94,188.02,-29.92,0.00
2023-05-30 03:30:32,XBT,"Sold 0.01 BTC/ZAR @ 552,993",S571,326ce2b3,-0.00525177,335762.86,1763.35,2904.19,1140.84,0.00
2023-05-30 16:08:00,XRP,Sold 750.00 XRP/ZAR @ 10.25,S572,966e06a7,-217.00000000,14.74,3198.58,2224.25,-974.33,0.00
2023-05-30 16:08:00,XRP,Sold 750.00 XRP/ZAR @ 10.25,S572,dc8ba892,-300.00000000,12.05,3615.00,3075.00,-540.00,0.00
2023-05-30 16:08:00,XRP,Sold 750.00 XRP/ZAR @ 10.25,S572,810057c9,-233.00000000,12.05,2807.65,2388.25,-419.40,0.00
2023-05-30 17:18:58,XRP,Sold 239.00 XRP/ZAR @ 10.45,S573,810057c9,-239.00000000,12.05,2879.95,2497.55,-382.40,0.00
2023-05-30 17:25:53,XRP,Sold 761.00 XRP/ZAR @ 10.45,S574,810057c9,-228.00000000,12.05,2747.40,2382.60,-364.80,0.00
2023-05-30 17:25:53,XRP,Sold 761.00 XRP/ZAR @ 10.45,S574,1d22a0b2,-533.00000000,11.81,6294.73,5569.85,-724.88,0.00
2023-06-21 15:29:25,XBT,"Sold 0.01 BTC/ZAR @ 559,000",S575,326ce2b3,-0.00174823,335762.86,586.99,977.26,390.27,0.00
2023-06-21 15:29:25,XBT,"Sold 0.01 BTC/ZAR @ 559,000",S575,143f3fa8,-0.00310000,335819.35,1041.04,1732.90,691.86,0.00
2023-06-21 15:29:25,XBT,"Sold 0.01 BTC/ZAR @ 559,000",S575,b538a699,-0.00100000,332920.00,332.92,559.00,226.08,0.00
2023-06-21 15:29:25,XBT,"Sold 0.01 BTC/ZAR @ 559,000",S575,5aec14d6,-0.00415177,332608.89,1380.92,2320.84,939.92,0.00
2023-06-21 15:39:40,XBT,"Sold 0.004282 BTC/ZAR @ 557,981",S576,5aec14d6,-0.00428200,332608.89,1424.23,2389.27,965.04,0.00
2023-06-22 02:34:41,ETH,"Sold 0.169922 ETH/ZAR @ 35,928",S577,0af07b8e,-0.16992200,25881.99,4397.92,6104.95,1707.03,0.00
2023-06-22 02:34:44,ETH,"Sold 0.030078 ETH/ZAR @ 35,928",S578,0af07b8e,-0.03007800,25881.99,778.48,1080.64,302.16,0.00
2023-06-23 16:08:05,XBT,"Sold 0.0011 BTC/ZAR @ 596,425",S579,5aec14d6,-0.00056623,332608.89,188.33,337.71,149.38,0.00
2023-06-23 16:08:05,XBT,"Sold 0.0011 BTC/ZAR @ 596,425",S579,301453e1,-0.00053377,418999.19,223.65,318.35,94.70,0.00
2023-06-23 16:08:05,XBT,"Sold 0.0089 BTC/ZAR @ 596,413",S580,301453e1,-0.00805923,418999.19,3376.81,4806.62,1429.81,0.00
2023-06-23 16:08:05,XBT,"Sold 0.0089 BTC/ZAR @ 596,413",S580,7739778a,-0.00084077,418997.87,352.28,501.45,149.16,0.00
2023-06-23 16:12:21,ETH,"Sold 0.0005 ETH/ZAR @ 36,799",S581,0af07b8e,-0.00050000,25881.99,12.94,18.39,5.45,0.00
2023-06-23 16:12:21,ETH,"Sold 0.0005 ETH/ZAR @ 36,799",S582,0af07b8e,-0.00050000,25881.99,12.94,18.39,5.45,0.00
2023-06-23 16:12:21,ETH,"Sold 0.000328 ETH/ZAR @ 36,799",S583,0af07b8e,-0.00032800,25881.99,8.49,12.07,3.58,0.00
2023-06-23 16:12:38,ETH,"Sold 0.005298 ETH/ZAR @ 36,799",S584,0af07b8e,-0.00529800,25881.99,137.12,194.96,57.84,0.00
2023-06-23 16:12:54,ETH,"Sold 0.0005 ETH/ZAR @ 36,799",S585,0af07b8e,-0.00050000,25881.99,12.94,18.39,5.45,0.00
2023-06-23 16:12:55,ETH,"Sold 0.0005 ETH/ZAR @ 36,799",S586,0af07b8e,-0.00050000,25881.99,12.94,18.39,5.45,0.00
2023-06-23 16:12:55,ETH,"Sold 0.0005 ETH/ZAR @ 36,799",S587,0af07b8e,-0.00050000,25881.99,12.94,18.39,5.45,0.00
2023-06-23 16:12:56,ETH,"Sold 0.0005 ETH/ZAR @ 36,799",S588,0af07b8e,-0.00050000,25881.99,12.94,18.39,5.45,0.00
2023-06-23 16:12:56,ETH,"Sold 0.0005 ETH/ZAR @ 36,799",S589,0af07b8e,-0.00050000,25881.99,12.94,18.39,5.45,0.00
2023-06-23 16:12:57,ETH,"Sold 0.0005 ETH/ZAR @ 36,799",S590,0af07b8e,-0.00050000,25881.99,12.94,18.39,5.45,0.00
2023-06-23 16:12:58,ETH,"Sold 0.0005 ETH/ZAR @ 36,799",S591,0af07b8e,-0.00050000,25881.99,12.94,18.39,5.45,0.00
2023-06-23 16:12:59,ETH,"Sold 0.0005 ETH/ZAR @ 36,799",S592,0af07b8e,-0.00050000,25881.99,12.94,18.39,5.45,0.00
2023-06-23 16:13:26,ETH,"Sold 0.0005 ETH/ZAR @ 36,799",S593,0af07b8e,-0.00050000,25881.99,12.94,18.39,5.45,0.00
2023-06-23 16:13:27,ETH,"Sold 0.0005 ETH/ZAR @ 36,799",S594,0af07b8e,-0.00050000,25881.99,12.94,18.39,5.45,0.00
2023-06-23 16:13:27,ETH,"Sold 0.188374 ETH/ZAR @ 36,799",S595,0af07b8e,-0.18837400,25881.99,4875.49,6931.97,2056.48,0.00
2023-07-03 07:38:16,ETH,"Sold 0.20 ETH/ZAR @ 37,700",S596,0af07b8e,-0.20000000,25881.99,5176.40,7540.00,2363.60,0.00
2023-07-03 19:34:57,XBT,"Sold 0.009 BTC/ZAR @ 597,025",S597,7739778a,-0.00056623,418997.87,237.25,338.05,100.80,0.00
2023-07-03 19:34:57,XBT,"Sold 0.009 BTC/ZAR @ 597,025",S597,bb53c0e3,-0.00843377,489522.00,4128.52,5035.17,906.65,0.00
2023-07-03 19:34:57,XBT,"Sold 0.001 BTC/ZAR @ 597,025",S598,bb53c0e3,-0.00100000,489522.00,489.52,597.02,107.50,0.00
2023-07-03 19:45:05,ETH,"Sold 0.10 ETH/ZAR @ 37,553",S599,0af07b8e,-0.08890219,25881.99,2300.97,3338.54,1037.58,0.00
2023-07-03 19:45:05,ETH,"Sold 0.10 ETH/ZAR @ 37,553",S599,24019253,-0.00100000,25630.00,25.63,37.55,11.92,0.00
2023-07-03 19:45:05,ETH,"Sold 0.10 ETH/ZAR @ 37,553",S599,876c732a,-0.01009781,25632.73,258.83,379.20,120.37,0.00
2023-07-13 15:46:25,XRP,Sold 525.00 XRP/ZAR @ 10.89,S600,1d22a0b2,-467.00000000,11.81,5515.27,5085.63,-429.64,0.00
2023-07-13 15:46:25,XRP,Sold 525.00 XRP/ZAR @ 10.89,S600,0a08bef1,-58.00000000,11.45,664.10,631.62,-32.48,0.00
2023-07-13 16:20:48,XRP,Sold 23.00 XRP/ZAR @ 11.15,S601,0a08bef1,-23.00000000,11.45,263.35,256.45,-6.90,0.00
2023-07-13 16:20:49,XRP,Sold 977.00 XRP/ZAR @ 11.15,S602,0a08bef1,-900.00000000,11.45,10305.00,10035.00,-270.00,0.00
2023-07-13 16:20:49,XRP,Sold 977.00 XRP/ZAR @ 11.15,S602,ae8a6809,-19.00000000,11.45,217.55,211.85,-5.70,0.00
2023-07-13 16:20:49,XRP,Sold 977.00 XRP/ZAR @ 11.15,S602,57e0fb9b,-33.00000000,11.22,370.26,367.95,-2.31,0.00
2023-07-13 16:20:49,XRP,Sold 977.00 XRP/ZAR @ 11.15,S602,fb8644cc,-9.00000000,11.22,100.98,100.35,-0.63,0.00
2023-07-13 16:20:49,XRP,Sold 977.00 XRP/ZAR @ 11.15,S602,07bff857,-16.00000000,11.22,179.52,178.40,-1.12,0.00
2023-07-13 17:06:49,XRP,Sold 493.00 XRP/ZAR @ 11.50,S603,07bff857,-430.00000000,11.22,4824.60,4945.00,120.40,0.00
2023-07-13 17:06:49,XRP,Sold 493.00 XRP/ZAR @ 11.50,S603,1198606f,-63.00000000,11.22,706.86,724.50,17.64,0.00
2023-07-13 18:10:51,XRP,"Sold 1,000.00 XRP/ZAR @ 14.49",S604,1198606f,-449.00000000,11.22,5037.78,6506.01,1468.23,0.00
2023-07-13 18:10:51,XRP,"Sold 1,000.00 XRP/ZAR @ 14.49",S604,c8964b3c,-508.00000000,11.01,5593.08,7360.92,1767.84,0.00
2023-07-13 18:10:51,XRP,"Sold 1,000.00 XRP/ZAR @ 14.49",S604,c63ebd20,-43.00000000,11.25,483.75,623.07,139.32,0.00
2023-07-13 18:21:23,XRP,Sold 1.00 XRP/ZAR @ 15.85,S605,c63ebd20,-1.00000000,11.25,11.25,15.85,4.60,0.00
2023-07-13 18:21:24,XRP,"Sold 1,900.00 XRP/ZAR @ 15.85",S606,c63ebd20,-464.00000000,11.25,5220.00,7354.40,2134.40,0.00
2023-07-13 18:21:24,XRP,"Sold 1,900.00 XRP/ZAR @ 15.85",S606,d7898b38,-556.00000000,11.25,6255.00,8812.60,2557.60,0.00
2023-07-13 18:21:24,XRP,"Sold 1,900.00 XRP/ZAR @ 15.85",S606,cc511f41,-500.00000000,8.01,4005.00,7925.00,3920.00,0.00
2023-07-13 18:21:24,XRP,"Sold 1,900.00 XRP/ZAR @ 15.85",S606,b47f03f0,-380.00000000,7.51,2853.80,6023.00,3169.20,0.00
2023-07-13 18:21:24,XRP,Sold 54.00 XRP/ZAR @ 15.85,S607,b47f03f0,-54.00000000,7.51,405.54,855.90,450.36,0.00
2023-07-13 18:21:24,XRP,"Sold 1,900.00 XRP/ZAR @ 15.85",S608,b47f03f0,-566.00000000,7.51,4250.66,8971.10,4720.44,0.00
2023-07-13 18:21:24,XRP,"Sold 1,900.00 XRP/ZAR @ 15.85",S608,66c80d2e,-1000.00000000,9.35,9350.00,15850.00,6500.00,0.00
2023-07-13 18:21:24,XRP,"Sold 1,900.00 XRP/ZAR @ 15.85",S608,c314939c,-334.00000000,9.40,3139.60,5293.90,2154.30,0.00
2023-07-13 18:21:24,XRP,Sold 62.00 XRP/ZAR @ 15.85,S609,c314939c,-62.00000000,9.40,582.80,982.70,399.90,0.00
2023-07-13 18:21:24,XRP,"Sold 1,083.00 XRP/ZAR @ 15.85",S610,c314939c,-604.00000000,9.40,5677.60,9573.40,3895.80,0.00
2023-07-13 18:21:24,XRP,"Sold 1,083.00 XRP/ZAR @ 15.85",S610,9d68e351,-479.00000000,8.83,4229.57,7592.15,3362.58,0.00
2023-11-09 15:19:19,ETH,"Sold 0.20 ETH/ZAR @ 38,700",S611,876c732a,-0.02320219,25632.73,594.74,897.92,303.19,0.00
2023-11-09 15:19:19,ETH,"Sold 0.20 ETH/ZAR @ 38,700",S611,bdc3577d,-0.00230000,24586.96,56.55,89.01,32.46,0.00
2023-11-09 15:19:19,ETH,"Sold 0.20 ETH/ZAR @ 38,700",S611,a6cf0eb1,-0.17449781,24586.95,4290.37,6753.07,2462.70,0.00
2023-12-07 21:10:25,ETH,"Sold 0.014172 ETH/ZAR @ 44,455",S612,a6cf0eb1,-0.01417200,24586.95,348.45,630.01,281.56,0.00
2023-12-07 21:10:25,ETH,"Sold 0.2738 ETH/ZAR @ 44,456",S613,a6cf0eb1,-0.00903019,24586.95,222.02,401.45,179.42,0.00
2023-12-07 21:10:25,ETH,"Sold 0.2738 ETH/ZAR @ 44,456",S613,c49c1358,-0.10421900,27622.99,2878.84,4633.16,1754.32,0.00
2023-12-07 21:10:25,ETH,"Sold 0.2738 ETH/ZAR @ 44,456",S613,daece2c1,-0.16055081,27622.96,4434.89,7137.45,2702.56,0.00

Balances at end of FY,2024
Currency,Total Units,Total Value (ZAR),Lot Ref,Lot Qty,Lot Unit Cost (ZAR),Lot Total Value (ZAR)
BCH,1.15497969,16635.96,,,,
BCH,,,385e07fc,0.01531969,6527.55,100.00
BCH,,,4ce655d0,0.20000000,15116.14,3023.23
BCH,,,219e7348,0.05000000,16177.76,808.89
BCH,,,79b0988e,0.09000000,16177.76,1456.00
BCH,,,637c920c,0.05000000,16177.76,808.89
BCH,,,9384809e,0.01000000,16177.76,161.78
BCH,,,303d5014,0.20000000,15655.74,3131.15
BCH,,,11345ce7,0.49000000,13297.66,6515.85
BCH,,,b6e23115,0.01000000,13297.66,132.98
BCH,,,5f22e3be,0.04000000,12430.00,497.20
ETH,1.00600027,32202.51,,,,
ETH,,,daece2c1,0.03523019,27622.96,973.16
ETH,,,9f230823,0.30000000,29400.00,8820.00
ETH,,,32ba6fc0,0.30000000,28400.00,8520.00
ETH,,,f5cce330,0.20000000,36498.00,7299.60
ETH,,,03f8a445,0.00700000,32942.86,230.60
ETH,,,3a87c193,0.19300000,32948.96,6359.15
XBT,0.00002029,277.18,,,,
XBT,,,bb53c0e3,0.00056623,489522.00,277.18
XRP,0.14500000,185.43,,,,
XRP,,,9d68e351,21.00000000,8.83,185.43

Fees
Category,Date,Description,Trans Ref,Lot Ref,Fee (ZAR)
Buying,2023-04-20 04:54:47,"Fee for Bought 0.20 ETH/ZAR @ 36,498",,,7.29
Buying,2023-06-13 00:03:20,"Fee for Bought 0.193 ETH/ZAR @ 32,949",,,1.15
Buying,2023-06-13 00:03:20,"Fee for Bought 0.193 ETH/ZAR @ 32,949",,,31.76
Buying,2023-06-13 00:06:20,"Fee for Bought 0.01 BTC/ZAR @ 489,522",,,24.47
Buying,2023-07-12 19:17:12,Fee for Bought 500.00 XRP/ZAR @ 8.83,,,21.99
Total Buying,,,,,86.66
Selling,2023-05-30 03:28:48,"Fee for Sold 0.20 ETH/ZAR @ 37,769",S570,,7.55
Selling,2023-05-30 03:30:32,"Fee for Sold 0.01 BTC/ZAR @ 552,993",S571,,5.52
Selling,2023-06-21 15:39:40,"Fee for Sold 0.004282 BTC/ZAR @ 557,981",S576,,11.93
Selling,2023-06-22 02:34:41,"Fee for Sold 0.169922 ETH/ZAR @ 35,928",S577,,18.31
Selling,2023-06-22 02:34:44,"Fee for Sold 0.030078 ETH/ZAR @ 35,928",S578,,3.24
Selling,2023-06-23 16:08:05,"Fee for Sold 0.0089 BTC/ZAR @ 596,413",S580,,3.27
Selling,2023-06-23 16:08:05,"Fee for Sold 0.0089 BTC/ZAR @ 596,413",S580,,26.51
Selling,2023-06-23 16:12:21,"Fee for Sold 0.000328 ETH/ZAR @ 36,799",S583,,0.09
Selling,2023-06-23 16:12:21,"Fee for Sold 0.000328 ETH/ZAR @ 36,799",S583,,0.09
Selling,2023-06-23 16:12:21,"Fee for Sold 0.000328 ETH/ZAR @ 36,799",S583,,0.06
Selling,2023-06-23 16:12:38,"Fee for Sold 0.005298 ETH/ZAR @ 36,799",S584,,0.58
Selling,2023-06-23 16:12:54,"Fee for Sold 0.0005 ETH/ZAR @ 36,799",S585,,0.05
Selling,2023-06-23 16:12:55,"Fee for Sold 0.0005 ETH/ZAR @ 36,799",S586,,0.05
Selling,2023-06-23 16:12:55,"Fee for Sold 0.0005 ETH/ZAR @ 36,799",S587,,0.05
Selling,2023-06-23 16:12:56,"Fee for Sold 0.0005 ETH/ZAR @ 36,799",S588,,0.05
Selling,2023-06-23 16:12:56,"Fee for Sold 0.0005 ETH/ZAR @ 36,799",S589,,0.05
Selling,2023-06-23 16:12:57,"Fee for Sold 0.0005 ETH/ZAR @ 36,799",S590,,0.05
Selling,2023-06-23 16:12:58,"Fee for Sold 0.0005 ETH/ZAR @ 36,799",S591,,0.05
Selling,2023-06-23 16:12:59,"Fee for Sold 0.0005 ETH/ZAR @ 36,799",S592,,0.05
Selling,2023-06-23 16:13:26,"Fee for Sold 0.0005 ETH/ZAR @ 36,799",S593,,0.05
