Boughts for FY,2022
Date,Currency,Description,Trans Ref,Lot Ref,Qty Bought,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2021-03-21 10:08:48,XBT,"Bought 0.005 BTC/ZAR @ 832,000",B_XBT_088,dda1cc73,0.00500000,832000.00,4160.00,0.00,0.00,0.00
2021-03-21 10:09:35,LTC,"Bought 0.5154 LTC/ZAR @ 2,910",B_LTC_051,a1e50977,0.51540000,2909.99,1499.81,0.00,0.00,0.00
2021-03-21 11:13:44,XRP,Bought 300.00 XRP/ZAR @ 7.41,B_XRP_025,d7b3d23f,300.00000000,7.41,2223.00,0.00,0.00,0.00
2021-03-21 12:14:22,LTC,"Bought 0.50 LTC/ZAR @ 2,902",B_LTC_052,bdc7cc1c,0.50000000,2902.00,1451.00,0.00,0.00,0.00
2021-03-22 01:05:06,LTC,"Bought 0.2797 LTC/ZAR @ 2,871",B_LTC_053,e60c6ef9,0.27970000,2870.97,803.01,0.00,0.00,0.00
2021-03-22 01:05:07,LTC,"Bought 0.1723 LTC/ZAR @ 2,871",B_LTC_054,331fa97a,0.17230000,2870.98,494.67,0.00,0.00,0.00
2021-03-22 01:05:08,LTC,"Bought 0.048 LTC/ZAR @ 2,871",B_LTC_055,f21a88fc,0.04800000,2870.83,137.80,0.00,0.00,0.00
2021-03-22 10:41:50,LTC,"Bought 1.50 LTC/ZAR @ 2,901",B_LTC_056,7580dde4,1.50000000,2901.00,4351.50,0.00,0.00,0.00
2021-03-22 12:04:34,XBT,"Bought 0.009 BTC/ZAR @ 841,000",B_XBT_089,f8146e1e,0.00900000,841000.00,7569.00,0.00,0.00,0.00
2021-03-22 13:40:51,ETH,"Bought 0.20 ETH/ZAR @ 26,172",B_ETH_055,c5eb8e1b,0.20000000,26172.00,5234.40,0.00,0.00,0.00
2021-03-22 19:12:47,XBT,"Bought 0.008 BTC/ZAR @ 831,000",B_XBT_090,c76e1fa6,0.00800000,831000.00,6648.00,0.00,0.00,0.00
2021-03-22 20:38:06,ETH,"Bought 0.00758 ETH/ZAR @ 25,910",B_ETH_056,671328e4,0.00758000,25908.97,196.39,0.00,0.00,0.00
2021-03-22 20:38:06,ETH,"Bought 0.09242 ETH/ZAR @ 25,910",B_ETH_057,de075777,0.09242000,25909.98,2394.60,0.00,0.00,0.00
2021-03-22 20:44:43,XRP,Bought 4.00 XRP/ZAR @ 8.30,B_XRP_026,9781889f,4.00000000,8.30,33.20,0.00,0.00,0.00
2021-03-22 20:44:43,XRP,Bought 47.00 XRP/ZAR @ 8.30,B_XRP_027,928ee10a,47.00000000,8.30,390.10,0.00,0.00,0.00
2021-03-22 20:45:11,XRP,Bought 249.00 XRP/ZAR @ 8.30,B_XRP_028,463e60d5,249.00000000,8.30,2066.70,0.00,0.00,0.00
2021-03-22 20:45:36,ETH,"Bought 0.10 ETH/ZAR @ 25,600",B_ETH_058,52bc8122,0.10000000,25600.00,2560.00,0.00,0.00,0.00
2021-03-22 20:46:31,LTC,"Bought 0.50 LTC/ZAR @ 2,842",B_LTC_057,d4cb7542,0.50000000,2842.00,1421.00,0.00,0.00,0.00
