Financial Year,Trans Ref,Date,Description,Type,Lot Reference,Qty Change,Balance Units,Total Cost (ZAR),Balance Value (ZAR),Fee (ZAR),Proceeds (ZAR),Profit (ZAR),Unit Cost (ZAR)
FY2020,0237ff1f,2021-01-22 02:26:04,Bought 554.00 XRP/ZAR @ 4.00,in_buy,in_buy_XXXXXXX,554,554,2216,2216,0,0,0,4
FY2020,b2bc8fa6,2021-01-22 02:26:04,Bought 696.00 XRP/ZAR @ 4.00,in_buy,in_buy_XXXXXXX,696,1250,2784,5000,0,0,0,4
FY2020,98eaec98,2021-01-30 12:39:18,Sold 3.00 XRP/ZAR @ 4.98,out_sell,in_buy_4a14c02dce53f4,-3,1247,0,4988,0,14.94,2.94,4
FY2020,acd21a6b,2021-01-30 12:39:20,Sold 101.00 XRP/ZAR @ 4.98,out_sell,in_buy_4a14c02dce53f4,-101,1146,0,4584,0,502.98,98.98,4
FY2020,d716754a,2021-01-30 12:39:20,Sold 99.00 XRP/ZAR @ 4.98,out_sell,in_buy_4a14c02dce53f4,-99,1047,0,4188,0,493.02,97.02,4
FY2020,49d6f76e,2021-01-30 12:39:22,Sold 20.00 XRP/ZAR @ 4.98,out_sell,in_buy_4a14c02dce53f4,-20,1027,0,4108,0,99.6,19.6,4
FY2020,eacedf76,2021-01-30 12:39:22,Sold 99.00 XRP/ZAR @ 4.98,out_sell,in_buy_4a14c02dce53f4,-99,928,0,3712,0,493.02,97.02,4
FY2020,fb38a371,2021-01-30 12:39:26,Sold 104.00 XRP/ZAR @ 4.98,out_sell,in_buy_4a14c02dce53f4,-104,824,0,3296,0,517.92,101.92,4
FY2020,24d43a7d,2021-01-30 12:39:27,Sold 824.00 XRP/ZAR @ 4.98,out_sell,in_buy_4a14c02dce53f4,-128,696,0,2784,0,637.439999999999924304,125.439999999999924304,4
FY2020,24d43a7d,2021-01-30 12:39:27,Sold 824.00 XRP/ZAR @ 4.98,out_sell,in_buy_64e697036541a4,-696,0,0,0,0,3466.080000000000075696,682.080000000000075696,4
FY2020,ffd2f4c5,2021-02-18 09:05:19,Bought 119.00 XRP/ZAR @ 8.39,in_buy,in_buy_XXXXXXX,119,119,998.41,998.41,0,0,0,8.39
FY2020,ffd2f4c5,2021-02-18 09:05:19,Trading fee,out_other,in_buy_094a34fdfb3c45,-0.119,118.881,0,997.41159,0,0.99,-0.00841,8.39
FY2020,97ea152c,2021-02-18 10:24:16,Bought 120.00 XRP/ZAR @ 8.28,in_buy,in_buy_XXXXXXX,120,238.881,993.6,1977.93468,0,0,0,8.28
