Financial Year,Coin,Lot Reference,Quantity,Date of Original Purchase,Unit Cost (ZAR),Total Cost (ZAR),Pool
FY2023,,Total,0.22,,0,2.740349693251533748,
FY2023,,in_other_440023b08a9aa9,0.22,2023-12-08 13:45:18,12.4561349693251534,2.740349693251533748,in_other
