"User_ID","UTC_Time","Account","Operation","Coin","Change","Remark"
"102371243","2021-05-01 09:15:55","Spot","Buy","TRX","240.00000000",""
"102371243","2021-05-01 09:15:55","Spot","Sell","BTC","-0.00053520",""
"102371243","2021-05-02 00:12:59","Spot","Transaction Related","ZAR","-2601.61000000","275fcaf1a1b349a38ebd2413ac6c9c34"
"102371243","2021-05-02 00:12:59","Spot","Deposit","ZAR","2601.61000000",""
"102371243","2021-05-02 00:12:59","Spot","Transaction Related","BTC","0.00303000","275fcaf1a1b349a38ebd2413ac6c9c34"
"102371243","2021-05-02 01:14:30","Spot","Sell","BTC","-0.00152620",""
"102371243","2021-05-02 01:14:30","Spot","Fee","BNB","-0.00010683",""
"102371243","2021-05-02 01:14:30","Spot","Buy","DGB","587.00000000",""
"102371243","2021-05-03 20:19:24","Spot","Buy","ZIL","202.00000000",""
"102371243","2021-05-03 20:19:24","Spot","Fee","BNB","-0.00004874",""
"102371243","2021-05-03 20:19:24","Spot","Sell","BTC","-0.00075952",""
"102371243","2021-05-06 21:11:58","Spot","Transaction Related","ZAR","-4905.00000000",""
"102371243","2021-05-06 21:11:58","Spot","Transaction Related","BTC","0.00599100",""
"102371243","2021-05-06 21:11:58","Spot","Deposit","ZAR","4905.00000000",""
"102371243","2021-05-06 21:35:24","Spot","Buy","DOGE","154.00000000",""
"102371243","2021-05-06 21:35:24","Spot","Fee","BNB","-0.00010719",""
"102371243","2021-05-06 21:35:24","Spot","Sell","BTC","-0.00160160",""
"102371243","2021-05-06 21:45:32","Spot","Fee","BNB","-0.00009000",""
"102371243","2021-05-06 21:45:32","Spot","Sell","BTC","-0.00134628",""
"102371243","2021-05-06 21:45:32","Spot","Buy","BNB","0.12000000",""
"102371243","2021-05-08 23:37:07","Spot","Fee","BNB","-0.00006775",""
"102371243","2021-05-08 23:37:07","Spot","Sell","BTC","-0.00099150",""
"102371243","2021-05-08 23:37:07","Spot","Buy","ETH","0.01500000",""
"102371243","2021-05-08 23:37:12","Spot","Buy","ETH","0.04200000",""
"102371243","2021-05-08 23:37:12","Spot","Sell","BTC","-0.00277620",""
"102371243","2021-05-08 23:37:12","Spot","Fee","BNB","-0.00018972",""
"102371243","2021-05-09 00:04:52","Funding","Transfer Between Main and Funding Wallet","ETH","0.00700000",""
"102371243","2021-05-09 00:04:52","Spot","Transfer Between Main and Funding Wallet","ETH","-0.00700000",""
"102371243","2021-05-09 05:00:17","Spot","Transaction Related","ZAR","-4905.00000000","3cd0c9da0a064166bacc0e9adfce1"
"102371243","2021-05-09 05:00:17","Spot","Transaction Related","BTC","0.00582700","3cd0c9da0a064166bacc0e9adfce1"
"102371243","2021-05-09 05:00:17","Spot","Deposit","ZAR","4905.00000000",""
"102371243","2021-05-09 05:02:35","Spot","Sell","BTC","-0.00146616",""
"102371243","2021-05-09 05:02:35","Spot","Buy","DOGE","164.00000000",""
"102371243","2021-05-09 05:02:35","Spot","Fee","BNB","-0.00009879",""
"102371243","2021-05-09 10:04:20","Spot","Buy","DOGE","182.00000000",""
"102371243","2021-05-09 10:04:20","Spot","Fee","BNB","-0.00009602",""
"102371243","2021-05-09 10:04:20","Spot","Sell","BTC","-0.00147420",""
"102371243","2021-05-09 12:05:14","Spot","Buy","DOGE","396.00000000",""
"102371243","2021-05-09 12:05:14","Spot","Fee","BNB","-0.00019253",""
"102371243","2021-05-09 12:05:14","Spot","Sell","BTC","-0.00293040",""
"102371243","2021-05-10 10:53:24","Spot","Transaction Related","BTC","0.00588700","0a0d20027094419db47c054eee966fa1"
"102371243","2021-05-10 10:53:24","Spot","Deposit","ZAR","4905.00000000",""
"102371243","2021-05-10 10:53:24","Spot","Transaction Related","ZAR","-4905.00000000","0a0d20027094419db47c054eee966fa1"
"102371243","2021-05-10 17:24:39","Spot","Deposit","LTC","0.10000000",""
