"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2021-05-12 22:01:24","SHIBUSDT","BUY","0.00001905","2948897SHIB","56.17648785USDT","2948.9SHIB"
"2021-05-12 21:16:02","SHIBUSDT","BUY","0.0000205","913439SHIB","18.7254995USDT","913.44SHIB"
"2021-05-12 20:17:55","SHIBUSDT","BUY","0.0000215","3197498SHIB","68.746207USDT","3197.5SHIB"
"2021-05-12 20:08:03","BTCUSDT","SELL","54313.25","0.000005BTC","0.27156625USDT","0.00000031BNB"
"2021-05-12 20:08:02","BTCUSDT","SELL","54313.25","0.002529BTC","137.35820925USDT","0.13735821USDT"
"2021-05-12 17:44:13","SHIBUSDT","BUY","0.00002402","2219960SHIB","53.3234392USDT","2219.96SHIB"
"2021-05-12 16:45:39","SHIBUSDT","BUY","0.00002452","2039151SHIB","49.99998252USDT","2039.15SHIB"
"2021-05-12 16:42:40","SHIBUSDT","BUY","0.00002501","2132085SHIB","53.32344585USDT","2132.09SHIB"
"2021-05-12 15:00:30","RLCBTC","BUY","0.0001522","6RLC","0.0009132BTC","0.006RLC"
"2021-05-12 09:40:48","WINUSDT","BUY","0.0010894","22918WIN","24.9668692USDT","22.918WIN"
"2021-05-12 05:09:49","SHIBUSDT","BUY","0.00002558","1952942SHIB","49.95625636USDT","1952.94SHIB"
"2021-05-12 05:08:58","BTCUSDT","SELL","57445.47","0.003482BTC","200.02512654USDT","0.20002513USDT"
"2021-05-12 04:47:02","SHIBUSDT","BUY","0.00002601","1922337SHIB","49.99998537USDT","1922.34SHIB"
"2021-05-12 04:27:52","SHIBUSDT","BUY","0.00002773","1274612SHIB","35.34499076USDT","1274.61SHIB"
"2021-05-12 04:22:37","SHIBUSDT","BUY","0.00002791","1701520SHIB","47.4894232USDT","1701.52SHIB"
"2021-05-11 07:56:32","SHIBUSDT","BUY","0.0000301","1661129SHIB","49.9999829USDT","1661.13SHIB"
"2021-05-11 06:57:29","SHIBUSDT","BUY","0.00003201","1562500SHIB","50.015625USDT","1562.5SHIB"
"2021-05-11 06:25:17","NULSBTC","BUY","0.00002052","30NULS","0.0006156BTC","0.03NULS"
"2021-05-11 06:19:01","ETCUSDT","BUY","105.97","0.593ETC","62.84021USDT","0.00007317BNB"
"2021-05-11 01:39:31","BTCUSDT","SELL","55665.49","0.007235BTC","402.73982015USDT","0.40273982USDT"
"2021-05-11 01:33:54","SHIBUSDT","BUY","0.00003474","2308830SHIB","80.2087542USDT","2308.83SHIB"
"2021-05-11 01:32:23","BNBUSDT","SELL","628.24","0.1278BNB","80.289072USDT","0.08028907USDT"
"2021-05-09 12:05:14","DOGEBTC","BUY","0.0000074","396DOGE","0.0029304BTC","0.00019253BNB"
"2021-05-09 10:04:20","DOGEBTC","BUY","0.0000081","182DOGE","0.0014742BTC","0.00009602BNB"
"2021-05-09 05:02:35","DOGEBTC","BUY","0.00000894","164DOGE","0.00146616BTC","0.00009879BNB"
"2021-05-08 23:37:12","ETHBTC","BUY","0.0661","0.042ETH","0.0027762BTC","0.00018972BNB"
"2021-05-08 23:37:07","ETHBTC","BUY","0.0661","0.015ETH","0.0009915BTC","0.00006775BNB"
