FY,Losses Proceeds (ZAR),Losses Base Cost (ZAR),Losses Gain/Loss (ZAR),Gains Proceeds (ZAR),Gains Base Cost (ZAR),Gains Gain/Loss (ZAR),Net Gain/Loss (ZAR),Total Coin Value (ZAR),BCH Units,BCH Value (ZAR),ETH Units,ETH Value (ZAR),XBT Units,XBT Value (ZAR),XRP Units,XRP Value (ZAR),LTC Units,LTC Value (ZAR)
2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10817.32,0.00000000,0.00,0.00000000,0.00,0.06877900,10817.32,0.00000000,0.00,0.00000000,0.00
2019,4590.01,5195.86,-605.86,0.00,0.00,0.00,-605.86,10211.54,0.00000000,0.00,0.00000000,0.00,0.07650700,10211.54,0.00000000,0.00,0.00000000,0.00
2020,5308.24,5621.46,-313.22,371.61,302.80,68.82,-244.40,4287.28,0.00000000,0.00,0.00000000,0.00,0.03443400,4287.28,0.00000000,0.00,0.00000000,0.00
2021,0.00,0.00,0.00,23500.00,3850.00,19650.00,19650.00,1937.28,0.00000000,0.00,0.00000000,0.00,0.00243400,1937.28,0.00000000,0.00,0.00000000,0.00
2022,0.00,0.00,0.00,13604.16,8894.63,4709.52,4709.52,30366.82,0.00000000,0.00,0.00000000,0.00,0.03680522,30346.82,0.66400000,20.00,0.00000000,0.00
2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34426.64,0.00000000,0.00,0.00000000,0.00,0.04687922,34406.64,0.66400000,20.00,0.00000000,0.00
2024,0.00,0.00,0.00,53751.00,36356.34,17394.66,17394.66,320225.85,0.00000000,0.00,2.99400000,135459.73,0.19870684,170331.21,750.46400000,9362.51,3.49900000,5072.40
2025,0.00,0.00,0.00,242384.74,127426.23,114958.51,114958.51,217795.97,0.00000000,0.00,2.99400000,135459.73,0.08339067,77228.95,0.22000000,34.89,3.49900000,5072.40
2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,280635.97,0.00000000,0.00,4.98600000,198299.73,0.08339067,77228.95,0.22000000,34.89,3.49900000,5072.40
