Financial Year,Coin,Sale Reference,Lot Reference,Quantity Sold,Unit Cost (ZAR),Total Cost (ZAR),Selling Price (ZAR),Proceeds (ZAR),Profit/Loss (ZAR),Fee Reference,Fee Amount (ZAR)
FY2022,LTC,0c9b4941,in_buy_61e548376cdc30,0.0497,2944.9811320754716981,146.36556226415094339557,2923.9436619718309859,145.31999999999999999923,-1.04556226415094339634,,0
FY2022,XRP,0d843948,in_buy_3e260e0bfd6204,17,8.01,136.17,8.25,140.25,4.08,,0
FY2022,LTC,0deeb77c,in_buy_4acb886afa6b3e,0.1492,2838.9410187667560322,423.57000000000000000424,2995,446.854,23.28399999999999999576,,0
FY2022,LTC,0deeb77c,in_buy_d922c16823cdff,0.15250243,2838.9837567680133278,432.951921637650978761886554,2995,456.74477785,23.792856212349021238113446,,0
FY2022,LTC,0deeb77c,in_buy_727fdd28405863,0.1107,2838.9340560072267389,314.26999999999999999623,2995,331.5465,17.27650000000000000377,,0
FY2022,LTC,0deeb77c,in_buy_0b3d9729941781,0.08759757,2780,243.5212446,2995,262.35472215,18.83347755,,0
FY2022,LTC,0deeb77c,in_buy_b623f7bab26f6d,0.0074,2851.3513513513513514,21.10000000000000000036,2995,22.163,1.06299999999999999964,,0
FY2022,LTC,0deeb77c,in_buy_767c97e5cb9c34,0.4926,2851.9894437677628908,1404.89000000000000000808,2995,1475.337,70.44699999999999999192,,0
FY2022,ETH,0e4cf900,in_buy_56a216568ed99b,0.0393334,45979,1808.5103986,37950,1492.70253,-315.8078686,,0
FY2022,ETH,0e4cf900,in_buy_8dbbc6c10cc3c3,0.0106666,47402,505.6181732,37950,404.79747,-100.8207032,,0
FY2022,ETH,0e8b05c0,in_buy_76e7308591b23d,0.03,61182,1835.46,34490,1034.7,-800.76,,0
FY2022,ETH,0e8b05c0,in_buy_97e8a4382ddf5d,0.05,59799,2989.95,34490,1724.5,-1265.45,,0
FY2022,ETH,0e8b05c0,in_buy_cefe17416bf729,0.0056666,61800,350.19588,34490,195.441034,-154.754846,,0
FY2022,ETH,0e8b05c0,in_buy_44ecc773ab30f0,0.0143334,59050,846.38727,34490,494.358966,-352.028304,,0
FY2022,XRP,0efd8d52,in_buy_b7bd3b056f8197,100,24.46,2446,23.72,2372,-74,,0
FY2022,XBT,0efeb055,in_buy_6eaca76aa01521,0.00043654,680994.550408719346049,297.28136103542234332423046,886998.9327641408751334,387.210514108858057630734436,89.929153073435714306503976,,0
FY2022,XBT,0efeb055,in_buy_763dbd796d5cc6,0.00146,684479.4520547945205479,999.339999999999999999934,886998.9327641408751334,1295.018441835645677694764,295.67844183564567769483,,0
FY2022,XBT,0efeb055,in_buy_3e9473321c2149,0.00278846,884200,2465.556332,886998.9327641408751334,2473.361044055496264674480564,7.804712055496264674480564,,0
FY2022,XBT,0f04f8a7,in_buy_f18a198c0ddd44,0.00015912,831004,132.22935648,549000,87.35688,-44.87247648,,0
FY2022,XBT,0f04f8a7,in_buy_16c1b1c594561a,0.00484088,824000,3988.88512,549000,2657.64312,-1331.242,,0
FY2022,LTC,0f44c5a0,in_buy_158b98e51d83df,0.11634935,5150,599.1991525,2694.9969586374695864,313.56114438944647202240884,-285.63800811055352797759116,,0
FY2022,LTC,0f44c5a0,in_buy_be5c67c0290656,0.3,5301,1590.3,2694.9969586374695864,808.49908759124087592,-781.80091240875912408,,0
FY2022,LTC,0f44c5a0,in_buy_e101eb3091625f,0.24125065,5355,1291.89723075,2694.9969586374695864,650.16976801931265207423116,-641.72746273068734792576884,,0
FY2022,XRP,1015e668,in_buy_aa9cd68fa76c75,185,8.7,1609.5,17.72,3278.2,1668.7,,0
FY2022,XRP,1015e668,in_buy_4d0676bf1376f7,82.042,9,738.378,17.72,1453.78424,715.40624,,0
FY2022,XRP,1015e668,in_buy_ba02b7ec6e81da,68.958,8.75,603.3825,17.72,1221.93576,618.55326,,0
FY2022,XRP,1015e668,in_buy_ec5981a1cccbf3,64,9,576,17.72,1134.08,558.08,,0
FY2022,LTC,10d320b0,in_buy_24aeef094614e3,0.41240243,2909.9922390376406674,1200.087870660263872702581782,2946.9967802820028866,1215.348633390474075700854438,15.260762730210202998272656,,0
