Financial Year,Trans Ref,Date,Description,Type,Lot Reference,Qty Change,Balance Units,Total Cost (ZAR),Balance Value (ZAR),Fee (ZAR),Proceeds (ZAR),Profit (ZAR),Unit Cost (ZAR)
FY2017,b98eb80d,2017-08-28 21:43:03,"Bought BTC 0.15934 for ZAR 10,000.00",in_buy_for_other,in_buy_for_other_XXXXXXX,0.15934,0.15934,10000,10000.0000000000000000048,0,0,0,62758.88038157399272
FY2017,037b4604,2017-08-28 22:09:07,Test Transaction,out_other,in_buy_for_other_231126a25de1d7,-0.00149004,0.15784996,0,9906.4867578762394878922912,0,91.632030259233062907,-1.8812118645274492055088,62758.88038157399272
FY2017,037b4604,2017-08-28 22:09:07,Bitcoin send fee,out_other,in_buy_for_other_231126a25de1d7,-0.00149004,0.15635992,0,9812.9735157524789757797824,0,91.64,-1.8732421237605121125088,62758.88038157399272
FY2017,7481d775,2017-08-30 20:32:21,all bitcoin,out_other,in_buy_for_other_231126a25de1d7,-0.15622401,0.00013591,0,8.5295594326597213505752,0,9967.4,162.9560436801807455707928,62758.88038157399272
FY2017,b4ca59cc,2017-09-02 00:13:39,"Bought BTC 0.07241 for ZAR 5,000.00",in_buy_for_other,in_buy_for_other_XXXXXXX,0.07241,0.07254591,5000,5009.384753487087418861393302,0,0,0,69051.2360171247065322
FY2017,651305a8,2017-09-02 00:13:40,Ants bitcoin,out_other,in_buy_for_other_70eecd7222ea0a,-0.00078679,0.07175912,0,4955.055931501173871008923664,0,53.241281552446623464,-1.087540433466924388469638,69051.2360171247065322
FY2017,651305a8,2017-09-02 00:13:40,Bitcoin send fee,out_other,in_buy_for_other_70eecd7222ea0a,-0.00078679,0.07097233,0,4900.727109515260323156454026,0,53.24,-1.088821985913547852469638,69051.2360171247065322
FY2017,975ad480,2017-09-04 18:43:08,"Bought BTC 0.07758 for ZAR 5,000.00",in_buy_for_other,in_buy_for_other_XXXXXXX,0.07758,0.14855233,5000,9574.138308842485176598495967,0,0,0,64449.6004124774426399
FY2017,12a372f1,2017-09-04 18:43:10,ants 2nd half,out_other,in_buy_for_other_fbd744fe5afd25,-0.00091817,0.14763416,0,9514.962619231760763089818984,0,58.071488863492973826,-1.104200747231439682676983,64449.6004124774426399
FY2017,12a372f1,2017-09-04 18:43:10,Bitcoin send fee,out_other,in_buy_for_other_fbd744fe5afd25,-0.00091817,0.14671599,0,9455.786929621036349581142001,0,58.07,-1.105689610724413508676983,64449.6004124774426399
FY2017,b00e5f81,2017-11-01 10:38:18,"Bought BTC 0.04741216 for ZAR 5,000.00",in_buy_for_other,in_buy_for_other_XXXXXXX,0.04741216,0.19412815,5000,20472.400962116047866194604155,0,0,0,105458.1778176737782037
FY2017,571115f7,2017-11-01 10:41:37,bruce investment,out_other,in_buy_for_other_9bd2dbf312c1dd,-0.04741216,0.14671599,0,15472.400962116047866196267163,0,4904.36,-95.639999999999999998336992,105458.1778176737782037
FY2017,f453b6fb,2017-12-09 17:29:22,"Bought BTC 0.02076245 for ZAR 5,000.00",in_buy_for_other,in_buy_for_other_XXXXXXX,0.02076245,0.16747844,5000,40332.05137158668654229944182,0,0,0,240819.3638034047041655
FY2017,aa239e16,2017-12-09 17:32:03,ripple time,out_other,in_buy_for_other_67a165c7dce57c,-0.00000045,0.16747799,0,40331.943002872975010182567345,0,0.106225965706518708,-0.002142748005013408874475,240819.3638034047041655
FY2017,aa239e16,2017-12-09 17:32:03,Bitcoin send fee,out_other,in_buy_for_other_67a165c7dce57c,-0.00000045,0.16747754,0,40331.83463415926347806569287,0,0.1,-0.008368713711532116874475,240819.3638034047041655
FY2017,777d8006,2017-12-13 14:59:38,"Bought BTC 0.01829724 for ZAR 5,000.00",in_buy_for_other,in_buy_for_other_XXXXXXX,0.01829724,0.18577478,5000,50765.793092291515004455798714,0,0,0,273265.2574923868299263
FY2017,ba1e9f8a,2017-12-13 15:00:06,next 5k,out_other,in_buy_for_other_6c90fb7463cccf,-0.00134586,0.18442892,0,50398.016312842811265531188596,0,360.822288910991277501,-6.954490537712461423610118,273265.2574923868299263
FY2017,ba1e9f8a,2017-12-13 15:00:06,Bitcoin send fee,out_other,in_buy_for_other_6c90fb7463cccf,-0.00134586,0.18308306,0,50030.239533394107526606578478,0,360.82,-6.956779448703738924610118,273265.2574923868299263
FY2017,249bdc0a,2017-12-18 01:20:29,"Bought 0.01675 BTC/ZAR @ 298,500",in_buy_for_other,in_buy_for_other_XXXXXXX,0.01675,0.19983306,4999.87,59650.108758340298507455528368,0,0,0,298499.7014925373134328
FY2017,2947f821,2017-12-18 10:38:19,last R5000 with bruce,out_other,in_buy_for_other_f2079944b2c94a,-0.01675,0.18308306,0,54650.238758340298507456128368,0,5108.73,108.8600000000000000006,298499.7014925373134328
FY2017,0f5cd1f9,2017-12-19 21:29:28,"Bought 0.02 BTC/ZAR @ 290,000",in_buy,in_buy_XXXXXXX,0.02,0.20308306,5800,58894.0874,0,0,0,290000
FY2017,2c9316ab,2017-12-20 07:29:34,"Bought 0.015 BTC/ZAR @ 260,000",in_buy,in_buy_XXXXXXX,0.015,0.21808306,3900,56701.5956,0,0,0,260000
FY2017,c176542e,2017-12-21 18:02:54,"Bought 0.022391 BTC/ZAR @ 230,000",in_buy,in_buy_XXXXXXX,0.022391,0.24047406,5149.93,55309.0338,0,0,0,230000
FY2017,b9cf900a,2017-12-21 19:16:40,"Bought 0.02575 BTC/ZAR @ 200,000",in_buy,in_buy_XXXXXXX,0.02575,0.26622406,5150,53244.812,0,0,0,200000
FY2017,f0591a90,2017-12-22 08:45:03,"Bought 0.02 BTC/ZAR @ 170,000",in_buy,in_buy_XXXXXXX,0.02,0.28622406,3400,48658.0902,0,0,0,170000
FY2017,01290acd,2017-12-22 09:16:00,"Bought 0.02 BTC/ZAR @ 150,000",in_buy,in_buy_XXXXXXX,0.02,0.30622406,3000,45933.609,0,0,0,150000
FY2017,020f0d27,2017-12-30 19:03:59,"Bought 0.020001 BTC/ZAR @ 180,000",in_buy,in_buy_XXXXXXX,0.020001,0.32622506,3600.18,58720.5108,0,0,0,180000
FY2017,1ad86832,2018-01-08 08:30:36,paul and ant extra 20 k and 10 from bruces last deal,out_other,in_other_431c0435075463,-0.00012422,0.32610084,0,262833.811791981967477045430832,0,26.56829426024624177,-73.551705739753758229995656,805989.3736918370632748
FY2017,1ad86832,2018-01-08 08:30:36,paul and ant extra 20 k and 10 from bruces last deal,out_other,in_other_0076960a68ab50,-0.0017,0.32440084,0,271332.679056470588235301750608,0,363.59765128334153064,-1058.30234871665846936004,836411.7647058823529412
FY2017,1ad86832,2018-01-08 08:30:36,paul and ant extra 20 k and 10 from bruces last deal,out_other,in_other_c3d0538cec773d,-0.14131778,0.18308306,0,153269.810096810473546410473192,0,30225.184054456415289125,-88080.405244208579726402133096,837159.9758973357422932
FY2017,d10a94b7,2018-01-18 00:20:40,"Bought 0.024659 BTC/ZAR @ 147,000",in_buy,in_buy_XXXXXXX,0.024659,0.20774206,3624.87,30538.057546218419238421156194,0,0,0,146999.8783405653108399
FY2017,856b83a5,2018-01-19 19:30:05,"Bought 0.016529 BTC/ZAR @ 157,000",in_buy,in_buy_XXXXXXX,0.016529,0.22427106,2595.05,35210.515714985782563969146076,0,0,0,156999.8185008167463246
FY2017,1c896bac,2018-01-23 09:34:16,"Bought 0.027591 BTC/ZAR @ 137,000",in_buy,in_buy_XXXXXXX,0.027591,0.25186206,3779.96,34505.038321104708056983445772,0,0,0,136999.7462940814033562
FY2018,ce144de5,2018-03-03 05:08:04,"Sold 0.034 BTC/ZAR @ 135,000",out_sell,in_buy_ccb472570c3835,-0.02,0.23186206,0,67239.9974,0,2700.000000000000189,-3099.999999999999811,290000
FY2018,ce144de5,2018-03-03 05:08:04,"Sold 0.034 BTC/ZAR @ 135,000",out_sell,in_buy_ea85a66628303a,-0.014,0.21786206,0,56644.1356,0,1889.999999999999811,-1750.000000000000189,260000
FY2018,7b2ea7db,2018-03-09 06:21:43,"Bought 0.001194 BTC/ZAR @ 110,000",in_buy,in_buy_XXXXXXX,0.001194,0.21905606,131.34,24096.1666,0,0,0,110000
FY2018,4dac9a05,2018-03-09 06:21:44,"Bought 0.040534 BTC/ZAR @ 110,000",in_buy,in_buy_XXXXXXX,0.040534,0.25959006,4458.74,28554.9066,0,0,0,110000
