Financial Year,Coin,Lot Reference,Quantity,Date of Original Purchase,Unit Cost (ZAR),Total Cost (ZAR),Pool
FY2023,,Total,0.06277584,,0,52553.420701335004984479156288,
FY2023,,in_other_c3d0538cec773d,0.06277584,2023-12-08 14:48:08,837159.9758973357422932,52553.420701335004984479156288,in_other
FY2024,,Total,0.02061483,,0,19584.0885,
FY2024,,in_buy_39167e20a04860,0.02061483,2024-08-05 14:28:45,950000,19584.0885,in_buy
