Transactions for FY,2023
Date,Currency,Description,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2022-03-01 12:24:24,XRP,Sold 700.00 XRP/ZAR @ 12.25,S666,31afee44,-118.00000000,15.41,1818.38,1445.50,-372.88,0.00
2022-03-01 12:24:24,XRP,Sold 700.00 XRP/ZAR @ 12.25,S666,dae7438c,-300.00000000,14.84,4452.00,3675.00,-777.00,0.00
2022-03-01 12:24:24,XRP,Sold 700.00 XRP/ZAR @ 12.25,S666,326171a3,-282.00000000,14.01,3950.82,3454.50,-496.32,0.00
2022-04-21 16:12:37,XRP,"Sold 1,000.00 XRP/ZAR @ 11.97",S667,326171a3,-18.00000000,14.01,252.18,215.46,-36.72,0.00
2022-04-21 16:12:37,XRP,"Sold 1,000.00 XRP/ZAR @ 11.97",S667,8edfe536,-300.00000000,13.51,4053.00,3591.00,-462.00,0.00
2022-04-21 16:12:37,XRP,"Sold 1,000.00 XRP/ZAR @ 11.97",S667,e04c1d29,-100.00000000,13.11,1311.00,1197.00,-114.00,0.00
2022-04-21 16:12:37,XRP,"Sold 1,000.00 XRP/ZAR @ 11.97",S667,d0168dde,-100.00000000,13.01,1301.00,1197.00,-104.00,0.00
2022-04-21 16:12:37,XRP,"Sold 1,000.00 XRP/ZAR @ 11.97",S667,39a1386b,-100.00000000,12.81,1281.00,1197.00,-84.00,0.00
2022-04-21 16:12:37,XRP,"Sold 1,000.00 XRP/ZAR @ 11.97",S667,95c09081,-100.00000000,12.91,1291.00,1197.00,-94.00,0.00
2022-04-21 16:12:37,XRP,"Sold 1,000.00 XRP/ZAR @ 11.97",S667,7443aea7,-282.00000000,13.33,3759.06,3375.54,-383.52,0.00
2022-05-13 12:25:55,XRP,Sold 265.00 XRP/ZAR @ 7.43,S668,7443aea7,-55.00000000,13.33,733.15,408.65,-324.50,0.00
2022-05-13 12:25:55,XRP,Sold 265.00 XRP/ZAR @ 7.43,S668,966e06a7,-210.00000000,14.74,3095.40,1560.30,-1535.10,0.00
2022-05-13 12:26:11,XRP,Sold 66.00 XRP/ZAR @ 7.43,S669,966e06a7,-66.00000000,14.74,972.84,490.38,-482.46,0.00
2022-05-13 12:26:17,XRP,Sold 669.00 XRP/ZAR @ 7.43,S670,966e06a7,-669.00000000,14.74,9861.06,4970.67,-4890.39,0.00
2022-05-13 12:38:50,LTC,To Kucoin,S671,77606884,-0.01367344,2420.00,33.09,16.16,-16.93,0.00
2022-05-13 12:38:50,LTC,To Kucoin,S671,e5856500,-0.13090000,1189.00,155.64,154.70,-0.94,0.00
2022-05-13 12:38:50,LTC,To Kucoin,S671,032f854c,-1.13200000,1188.99,1345.94,1337.80,-8.14,0.00
2022-05-13 12:38:50,LTC,To Kucoin,S671,1084a75e,-3.66280000,1189.00,4355.06,4328.70,-26.36,0.00
