Sales for FY,2024
Date,Currency,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR)
2023-04-13 19:52:08,ETH,S698,9d6b31e0,-0.02690000,24789.97,666.85,998.79,331.94
2023-04-13 22:35:49,ETH,S699,9d6b31e0,-0.13411674,24789.97,3324.75,4979.75,1655.00
2023-04-13 22:35:49,ETH,S699,8e3ce14d,-0.00411000,24652.07,101.32,152.60,51.28
2023-04-13 22:35:49,ETH,S699,3d92187d,-0.13487326,24653.00,3325.03,5007.84,1682.81
2023-04-14 05:27:35,ETH,S700,3d92187d,-0.30000000,24653.00,7395.90,11691.00,4295.10
2023-04-14 09:16:59,ETH,S701,3d92187d,-0.06570274,24653.00,1619.77,2567.07,947.30
2023-04-14 09:16:59,ETH,S701,f257e970,-0.11665800,25881.98,3019.34,4557.94,1538.60
2023-04-14 09:16:59,ETH,S701,0af07b8e,-0.01763926,25881.99,456.54,689.18,232.64
2023-04-18 23:06:06,XRP,S702,966e06a7,-500.00000000,14.74,7370.00,4975.00,-2395.00
2023-04-20 04:54:47,ETH,S703,0af07b8e,-0.00020000,25881.99,5.18,7.29,2.11
2023-05-28 06:16:45,XBT,S704,37439f7e,-0.00236370,491000.00,1160.58,1271.67,111.09
2023-05-28 06:16:45,XBT,S704,3ee28fec,-0.00500000,481000.00,2405.00,2690.00,285.00
2023-05-28 06:16:45,XBT,S704,30db982b,-0.00263630,555000.00,1463.15,1418.33,-44.82
2023-05-30 00:30:24,XRP,S705,966e06a7,-1000.00000000,14.74,14740.00,9890.00,-4850.00
2023-05-30 03:28:48,ETH,S706,0af07b8e,-0.20000000,25881.99,5176.40,7553.80,2377.40
2023-05-30 03:28:48,ETH,S707,0af07b8e,-0.00020000,25881.99,5.18,7.55,2.37
2023-05-30 03:30:32,XBT,S708,30db982b,-0.00136370,555000.00,756.85,754.12,-2.74
2023-05-30 03:30:32,XBT,S708,e2767830,-0.00266000,641000.00,1705.06,1470.96,-234.10
