Transactions for FY,2026
Date,Currency,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2025-04-07 18:48:54,ETH,,,,,,,,12.01
2025-04-07 18:51:28,ETH,,,,,,,,12.80
2025-04-08 16:56:39,ETH,,,,,,,,18.80
2025-04-08 16:56:39,ETH,,,,,,,,4.84
2025-04-09 01:27:14,ETH,,,,,,,,22.51
2025-04-10 16:41:42,ETH,,,,,,,,52.72
2025-04-10 16:41:42,ETH,,,,,,,,8.91
2025-04-10 16:41:42,ETH,,,,,,,,8.91
2025-04-10 16:41:43,ETH,,,,,,,,8.91
2025-04-10 16:41:43,ETH,,,,,,,,8.91
2025-04-10 16:47:11,ETH,,,,,,,,0.77
2025-05-30 17:13:27,XBT,,,,,,,,81.24
2025-05-30 17:13:27,XBT,,,,,,,,116.72
2025-05-30 18:27:17,XBT,S631,bb53c0e3,-0.00056623,489522.00,277.18,1077.05,799.86,0.00
2025-05-30 18:27:17,XBT,S631,4743f719,-0.01027300,1893690.26,19453.88,19540.63,86.75,0.00
2025-05-30 18:27:17,XBT,S631,abde687a,-0.00638644,1893688.99,12093.93,12147.87,53.94,0.00
2025-05-30 18:27:17,XBT,,,,,,,,217.01
2025-06-05 17:10:46,XBT,,,,,,,,90.05
2025-06-05 17:26:14,XBT,S632,abde687a,-0.00076456,1893688.99,1447.84,1421.54,-26.30,0.00
2025-06-05 17:26:14,XBT,S632,3c055fa2,-0.01525407,1860199.67,28375.62,28361.77,-13.85,0.00
2025-06-05 17:26:14,XBT,,,,,,,,111.53
2025-11-12 18:04:18,XBT,,,,,,,,8.23
2025-11-12 18:04:18,XBT,,,,,,,,31.70
2025-11-16 23:03:00,ETH,,,,,,,,24.34
2025-11-16 23:03:19,ETH,,,,,,,,7.61
2025-11-16 23:03:20,ETH,,,,,,,,7.61
2025-11-16 23:03:20,ETH,,,,,,,,2.90
2025-11-17 07:09:21,XBT,S633,3c055fa2,-0.00087293,1860199.67,1623.82,1433.56,-190.27,0.00
2025-11-17 07:09:21,XBT,S633,f3541c71,-0.00117300,1756896.85,2060.84,1926.34,-134.50,0.00
2025-11-17 07:09:21,XBT,S633,d115aa6c,-0.00356232,1756897.70,6258.63,5850.16,-408.47,0.00
2025-11-17 07:09:21,XBT,,,,,,,,98.53
2025-11-21 08:14:46,ETH,,,,,,,,4.52
2025-11-21 08:14:47,ETH,,,,,,,,14.34
2025-11-21 08:14:48,ETH,,,,,,,,23.86
2025-11-22 13:50:27,XBT,,,,,,,,199.58
2025-11-22 14:05:38,XBT,S634,d115aa6c,-0.00095368,1756897.70,1675.52,1400.30,-275.22,0.00
2025-11-22 14:05:38,XBT,S634,4ffa3b43,-0.00000200,1755000.00,3.51,2.94,-0.57,0.00
2025-11-22 14:05:38,XBT,S634,84dbf40a,-0.02610305,1465949.73,38265.76,38327.38,61.62,0.00
2025-11-22 14:05:38,XBT,,,,,,,,88.09

Balances at end of FY,2026
Currency,Balance Units,Balance Value (ZAR),Remaining Lots
BCH,0.00611969,76.07,5f22e3be:0.00611969:12430.00
ETH,2.13308319,73217.29,3a87c193:0.03308319:32948.96; 014b444e:0.09677100:31049.90; 34dd44e3:0.10322900:31050.00; 299e4dfa:0.15902100:29499.94; 1bf25025:0.04097900:29499.99; d1caad3f:0.20000000:28025.00; d69eeba2:0.59135800:29700.00; ec4771de:0.10000000:29700.00; c37742f2:0.10000000:29700.00; 8bd6db91:0.10000000:29700.00; 479553b8:0.10000000:29700.00; 02fa78e7:0.00864200:29699.14; 1dff245d:0.11439500:52099.92; 3bf2e9b0:0.03594600:52099.82; ec9284c1:0.03594600:52099.82; 6e84bb5d:0.01371300:52099.47; d8534f75:0.03176300:47640.97; 9dd34d03:0.10068100:47640.97; e262a416:0.16755600:47640.97
XBT,0.00115195,1688.70,84dbf40a:0.00115195:1465949.73
XRP,26.00000000,221.26,0fbacaac:26.00000000:8.51
