Sales for FY,2023
Date,Currency,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR)
2022-03-01 12:24:24,XRP,S637,31afee44,-105.17000000,15.41,1620.67,1288.33,-332.34
2022-03-01 12:24:24,XRP,S637,dae7438c,-300.00000000,14.84,4452.00,3675.00,-777.00
2022-03-01 12:24:24,XRP,S637,326171a3,-294.83000000,14.01,4130.57,3611.67,-518.90
2022-04-21 16:12:37,XRP,S638,326171a3,-5.17000000,14.01,72.43,61.88,-10.55
2022-04-21 16:12:37,XRP,S638,8edfe536,-300.00000000,13.51,4053.00,3591.00,-462.00
2022-04-21 16:12:37,XRP,S638,e04c1d29,-100.00000000,13.11,1311.00,1197.00,-114.00
2022-04-21 16:12:37,XRP,S638,d0168dde,-100.00000000,13.01,1301.00,1197.00,-104.00
2022-04-21 16:12:37,XRP,S638,39a1386b,-100.00000000,12.81,1281.00,1197.00,-84.00
2022-04-21 16:12:37,XRP,S638,95c09081,-100.00000000,12.91,1291.00,1197.00,-94.00
2022-04-21 16:12:37,XRP,S638,7443aea7,-294.83000000,13.33,3930.08,3529.12,-400.97
2022-05-13 12:25:55,XRP,S639,7443aea7,-42.17000000,13.33,562.13,313.32,-248.80
2022-05-13 12:25:55,XRP,S639,966e06a7,-222.83000000,14.74,3284.51,1655.63,-1628.89
2022-05-13 12:26:11,XRP,S640,966e06a7,-66.00000000,14.74,972.84,490.38,-482.46
2022-05-13 12:26:17,XRP,S641,966e06a7,-669.00000000,14.74,9861.06,4970.67,-4890.39
2022-06-11 16:46:18,ETH,S642,a00a3aff,-0.00200008,33499.95,67.00,49.90,-17.10
2022-06-15 09:10:59,ETH,S643,a00a3aff,-0.00118623,33499.95,39.74,19.95,-19.79
2022-07-07 15:57:35,ETH,S644,a00a3aff,-0.03386674,33499.95,1134.53,736.60,-397.93
2022-07-07 15:57:35,ETH,S644,ee6a83a0,-0.06644500,30099.93,1999.99,1445.18,-554.81
2022-07-07 15:57:35,ETH,S644,1555c645,-0.10000000,29100.00,2910.00,2175.00,-735.00
2022-07-07 15:57:35,ETH,S644,d68bd86e,-0.10000000,27100.00,2710.00,2175.00,-535.00
2022-07-07 15:57:35,ETH,S644,275e775a,-0.05000000,27000.00,1350.00,1087.50,-262.50
2022-07-07 15:57:35,ETH,S644,cfcd978c,-0.00407500,26746.01,108.99,88.63,-20.36
2022-07-07 15:57:35,ETH,S644,19243034,-0.04592500,26747.96,1228.40,998.87,-229.53
2022-07-07 15:57:35,ETH,S644,e72cae7b,-0.10000000,26305.00,2630.50,2175.00,-455.50
2022-07-07 15:57:35,ETH,S644,92fc8345,-0.09968826,25500.00,2542.05,2168.22,-373.83
2022-07-16 19:44:32,ETH,S645,92fc8345,-0.00031174,25500.00,7.95,7.19,-0.76
2022-07-16 19:44:32,ETH,S645,dba3adb8,-0.03198826,31950.00,1022.02,737.84,-284.19
2022-07-16 19:44:32,ETH,S646,dba3adb8,-0.01801174,31950.00,575.48,415.44,-160.04
2022-07-16 19:44:32,ETH,S646,ac26fbd0,-0.05868826,30099.94,1766.51,1353.64,-412.87
2022-07-16 19:44:32,ETH,S647,ac26fbd0,-0.00003230,30099.94,0.97,0.74,-0.23
2022-07-16 19:44:32,ETH,S648,ac26fbd0,-0.00007670,30099.94,2.31,1.76,-0.55
2022-07-16 19:44:33,ETH,S649,ac26fbd0,-0.02505274,30099.94,754.09,577.77,-176.32
2022-07-16 19:44:33,ETH,S649,70e6df74,-0.05000000,47183.00,2359.15,1153.10,-1206.05
2022-07-16 19:44:33,ETH,S649,622a4eee,-0.05000000,46250.00,2312.50,1153.10,-1159.40
2022-07-16 19:44:33,ETH,S649,452d91cf,-0.00310000,45300.00,140.43,71.49,-68.94
2022-07-16 19:44:33,ETH,S649,a3525ae5,-0.01246800,45299.97,564.80,287.54,-277.26
2022-07-16 19:44:33,ETH,S649,0d143e82,-0.04157000,45299.98,1883.12,958.69,-924.43
2022-07-16 19:44:33,ETH,S649,54513123,-0.00246000,45296.75,111.43,56.73,-54.70
2022-07-16 19:44:33,ETH,S649,f2f3b11f,-0.01040200,45299.94,471.21,239.89,-231.32
2022-07-16 19:44:33,ETH,S649,b79c34bf,-0.03498900,43839.78,1533.91,806.92,-726.99
2022-07-16 19:44:33,ETH,S649,fe8edb90,-0.01050300,43839.86,460.45,242.22,-218.23
2022-07-16 19:44:33,ETH,S649,b5a380d3,-0.00450800,43839.84,197.63,103.96,-93.67
2022-07-16 19:44:33,ETH,S649,12291bf7,-0.05000000,42500.00,2125.00,1153.10,-971.90
2022-07-16 19:44:33,ETH,S649,15cb6104,-0.05000000,52660.00,2633.00,1153.10,-1479.90
2022-07-16 19:44:33,ETH,S649,c9761907,-0.05000000,64695.00,3234.75,1153.10,-2081.65
2022-07-16 19:44:33,ETH,S649,01a39602,-0.08000000,64695.00,5175.60,1844.96,-3330.64
2022-07-16 19:44:33,ETH,S649,61cafc1e,-0.03000000,62754.00,1882.62,691.86,-1190.76
2022-07-16 19:44:33,ETH,S649,81e361c6,-0.03000000,62754.00,1882.62,691.86,-1190.76
2022-07-16 19:44:33,ETH,S649,362844c4,-0.04000000,62754.00,2510.16,922.48,-1587.68
2022-07-16 19:44:33,ETH,S649,a9e44621,-0.31594726,24999.00,7898.36,7286.38,-611.99
2022-07-18 06:36:53,ETH,S650,a9e44621,-0.00219400,24999.00,54.85,54.63,-0.22
2022-07-18 06:40:22,ETH,S651,a9e44621,-0.59780600,24999.00,14944.55,14885.36,-59.19
2022-07-26 20:35:37,ETH,S652,a9e44621,-0.00002200,24999.00,0.55,0.52,-0.03
2022-07-26 20:35:37,ETH,S653,a9e44621,-0.00047800,24999.00,11.95,11.29,-0.66
2022-07-27 18:40:59,ETH,S654,a9e44621,-0.07988400,24999.00,1997.02,2171.32,174.30
2022-07-27 19:05:25,ETH,S655,a9e44621,-0.26082800,24999.00,6520.44,7089.56,569.12
2022-07-27 19:07:23,ETH,S656,a9e44621,-0.01257100,24999.00,314.26,341.69,27.43
2022-07-27 19:18:45,ETH,S657,a9e44621,-0.13671700,24999.00,3417.79,3716.10,298.31
2022-08-08 08:46:53,ETH,S658,a9e44621,-0.15873000,24999.00,3968.09,4728.56,760.47
2022-08-08 08:46:53,ETH,S659,a9e44621,-0.34127000,24999.00,8531.41,10166.43,1635.02
2022-09-20 21:33:27,XRP,S660,966e06a7,-1000.00000000,14.74,14740.00,7450.00,-7290.00
2022-09-22 09:04:11,XRP,S661,966e06a7,-400.00000000,14.74,5896.00,3060.00,-2836.00
2022-09-23 07:07:08,XRP,S662,966e06a7,-1000.00000000,14.74,14740.00,9690.00,-5050.00
2022-09-23 07:07:08,XRP,S663,966e06a7,-1.00000000,14.74,14.74,9.69,-5.05
2022-10-24 09:53:58,ETH,S664,a9e44621,-0.00219500,24999.00,54.87,54.63,-0.24
2022-10-24 09:54:37,ETH,S665,a9e44621,-0.00050000,24999.00,12.50,12.44,-0.06
2022-10-24 09:54:37,ETH,S666,a9e44621,-0.00279900,24999.00,69.97,69.66,-0.31
2022-10-24 09:54:37,ETH,S667,a9e44621,-0.00050000,24999.00,12.50,12.44,-0.06
2022-10-24 10:01:05,ETH,S668,a9e44621,-0.08764174,24999.00,2190.96,2181.40,-9.56
2022-10-24 10:01:05,ETH,S668,f1d4acbe,-0.20636426,16851.99,3477.65,5136.40,1658.75
2022-10-25 15:19:32,ETH,S669,f1d4acbe,-0.30000000,16851.99,5055.60,7707.00,2651.40
2022-10-25 17:01:34,ETH,S670,f1d4acbe,-0.03000000,16851.99,505.56,821.91,316.35
2022-10-25 17:01:34,ETH,S671,f1d4acbe,-0.47000000,16851.99,7920.44,12753.45,4833.01
2022-10-25 17:01:34,ETH,S672,f1d4acbe,-0.00003000,16851.99,0.51,0.80,0.29
2022-10-25 17:01:34,ETH,S673,f1d4acbe,-0.00047000,16851.99,7.92,12.62,4.70
2022-10-25 17:02:31,ETH,S674,f1d4acbe,-0.17937474,16851.99,3022.82,4843.66,1820.83
2022-10-25 17:02:31,ETH,S674,de2344bd,-0.27102526,17902.98,4852.16,7318.49,2466.34
2022-10-25 17:02:31,ETH,S675,de2344bd,-0.04960000,17902.98,887.99,1339.39,451.40
2022-10-25 17:02:31,ETH,S676,de2344bd,-0.00045040,17902.98,8.06,12.25,4.19
2022-10-25 17:02:31,ETH,S677,de2344bd,-0.00004960,17902.98,0.89,1.34,0.45
2022-11-09 02:27:40,XBT,S678,414ff0c3,-0.00000700,623470.00,4.36,2.35,-2.01
2022-11-09 02:29:56,XBT,S679,414ff0c3,-0.00000310,623470.00,1.93,1.04,-0.89
2022-11-09 04:37:54,XBT,S680,414ff0c3,-0.00000100,623470.00,0.62,0.33,-0.29
2022-11-09 04:38:24,XBT,S681,414ff0c3,-0.00000900,623470.00,5.61,2.99,-2.62
2023-01-14 00:40:15,ETH,S682,de2344bd,-0.10906574,17902.98,1952.60,2939.32,986.72
2023-01-14 00:40:15,ETH,S682,e22f973d,-0.19093426,17902.98,3418.29,5145.68,1727.39
2023-02-03 22:58:16,XBT,S683,414ff0c3,-0.00055970,623470.00,348.96,230.79,-118.17
2023-02-03 22:58:16,XBT,S683,46bb154d,-0.00200000,615000.00,1230.00,824.68,-405.32
2023-02-03 22:58:16,XBT,S683,f0c2ef59,-0.00200000,590880.00,1181.76,824.68,-357.08
2023-02-03 22:58:16,XBT,S683,efdb0180,-0.00200000,580000.00,1160.00,824.68,-335.32
2023-02-03 22:58:16,XBT,S683,b87a97b6,-0.00200000,562000.00,1124.00,824.68,-299.32
2023-02-03 22:58:16,XBT,S683,e37e995b,-0.00044030,545000.00,239.96,181.55,-58.41
2023-02-03 22:58:16,XBT,S684,e37e995b,-0.00000900,545000.00,4.91,3.71,-1.20
2023-02-04 10:04:20,ETH,S685,e22f973d,-0.07294600,17902.98,1305.95,2143.00,837.05
2023-02-04 10:04:20,ETH,S686,e22f973d,-0.01478900,17902.98,264.77,434.47,169.70
2023-02-04 10:18:31,ETH,S687,e22f973d,-0.02059774,17902.98,368.76,605.12,236.36
2023-02-04 10:18:31,ETH,S687,2489226d,-0.02200000,23633.64,519.94,646.32,126.38
2023-02-04 10:18:31,ETH,S687,a92e1bab,-0.16966726,23634.00,4009.92,4984.48,974.57
2023-02-15 20:31:06,ETH,S688,a92e1bab,-0.30000000,23634.00,7090.20,8967.00,1876.80
2023-02-15 20:34:24,ETH,S689,a92e1bab,-0.00833274,23634.00,196.94,252.48,55.55
2023-02-15 20:34:24,ETH,S689,d39a3a36,-0.01892400,28899.81,546.90,573.40,26.50
2023-02-15 20:34:24,ETH,S689,325eb2a5,-0.27274326,28900.00,7882.28,8264.12,381.84
2023-02-15 20:34:54,XBT,S690,e37e995b,-0.00155070,545000.00,845.13,680.76,-164.37
2023-02-15 20:34:54,XBT,S690,141947d5,-0.00200000,528000.00,1056.00,878.00,-178.00
2023-02-15 20:34:54,XBT,S690,9cc48940,-0.00744930,474299.00,3533.20,3270.24,-262.95
2023-02-16 05:06:46,ETH,S691,325eb2a5,-0.30000000,28900.00,8670.00,9270.00,600.00
2023-02-16 15:43:03,XBT,S692,9cc48940,-0.00255070,474299.00,1209.79,1150.36,-59.44
2023-02-16 15:43:03,XBT,S692,36c7bad4,-0.00533400,521137.98,2779.75,2405.61,-374.14
2023-02-16 15:43:03,XBT,S692,13c87041,-0.00447030,501000.00,2239.62,2016.09,-223.53
2023-02-16 15:43:14,XBT,S693,13c87041,-0.00052970,501000.00,265.38,238.89,-26.49
2023-02-16 15:43:14,XBT,S693,37439f7e,-0.00263630,491000.00,1294.42,1188.96,-105.47
2023-02-16 15:44:51,ETH,S694,325eb2a5,-0.08536574,28900.00,2467.07,2663.41,196.34
2023-02-16 15:44:51,ETH,S694,af45271b,-0.07296700,28899.91,2108.74,2276.57,167.83
2023-02-16 15:44:51,ETH,S694,88ea1dda,-0.05427626,25557.00,1387.14,1693.42,306.28
2023-02-16 15:44:55,ETH,S695,88ea1dda,-0.08739100,25557.00,2233.45,2726.59,493.14
2023-02-16 15:52:18,ETH,S696,88ea1dda,-0.20000000,25557.00,5111.40,6300.00,1188.60
2023-02-16 15:54:51,ETH,S697,88ea1dda,-0.15833274,25557.00,4046.51,5003.31,956.80
2023-02-16 15:54:51,ETH,S697,3e88afa1,-0.02168100,24789.91,537.47,685.12,147.65
2023-02-16 15:54:51,ETH,S697,922a370e,-0.02866300,24789.80,710.55,905.75,195.20
2023-02-16 15:54:51,ETH,S697,9d6b31e0,-0.09132326,24789.97,2263.90,2885.82,621.91

Balances at end of FY,2023
Currency,Balance Units,Balance Value (ZAR),Remaining Lots
BCH,1.15497969,16633.74,385e07fc:0.01497969:6527.55; 4ce655d0:0.20000000:15116.14; 219e7348:0.05000000:16177.76; 79b0988e:0.09000000:16177.76; 637c920c:0.05000000:16177.76; 9384809e:0.01000000:16177.76; 303d5014:0.20000000:15655.74; 11345ce7:0.49000000:13297.66; b6e23115:0.01000000:13297.66; 5f22e3be:0.04000000:12430.00
ETH,2.50000274,65219.09,9d6b31e0:0.16101674:24789.97; 8e3ce14d:0.00411000:24652.07; 3d92187d:0.50057600:24653.00; f257e970:0.11665800:25881.98; 0af07b8e:0.88334200:25881.99; 24019253:0.00100000:25630.00; 876c732a:0.03330000:25632.73; bdc3577d:0.00230000:24586.96; a6cf0eb1:0.19770000:24586.95; c49c1358:0.10421900:27622.99; daece2c1:0.19578100:27622.96; 9f230823:0.30000000:29400.00
XBT,0.03446370,14426.36,37439f7e:0.00236370:491000.00; 3ee28fec:0.00500000:481000.00; 30db982b:0.00400000:555000.00; e2767830:0.00266000:641000.00; 425b3f8f:0.00034000:641000.00; 326ce2b3:0.00700000:335762.86; 143f3fa8:0.00310000:335819.35; b538a699:0.00100000:332920.00; 5aec14d6:0.00900000:332608.89
XRP,8775.17000000,100712.81,966e06a7:1703.17000000:14.74; dc8ba892:300.00000000:12.05; 810057c9:700.00000000:12.05; 1d22a0b2:1000.00000000:11.81; 0a08bef1:981.00000000:11.45; ae8a6809:19.00000000:11.45; 57e0fb9b:33.00000000:11.22; fb8644cc:9.00000000:11.22; 07bff857:446.00000000:11.22; 1198606f:512.00000000:11.22; c8964b3c:508.00000000:11.01; c63ebd20:508.00000000:11.25; d7898b38:556.00000000:11.25; cc511f41:500.00000000:8.01; b47f03f0:1000.00000000:7.51
