Financial Year,Trans Ref,Date,Description,Type,Lot Reference,Qty Change,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR),Balance Units,Balance Value (ZAR)
2021,B000,2021-01-06 10:57:12,"Bought BTC 0.00183333 for ZAR 1,000.00",Buy,c1d43d7a,0.00183333,545455.54,1000.00,0.00,0.00,0.00,0.00183333,1000.00
2021,B001,2021-01-06 12:19:35,"Bought BTC 0.00544921 for ZAR 3,000.00",Buy,f789f9f9,0.00544921,550538.52,3000.00,0.00,0.00,0.00,0.00728254,4000.00
2021,B002,2021-01-11 16:02:24,"Bought 0.002 BTC/ZAR @ 500,000",Buy,e97af95a,0.00200000,500000.00,1000.00,0.00,0.00,0.00,0.00928254,5000.00
2021,B003,2021-01-11 19:18:58,"Bought 0.000625 BTC/ZAR @ 480,000",Buy,4a781f35,0.00062500,480000.00,300.00,0.00,0.00,0.00,0.00990754,5300.00
2021,B004,2021-01-11 20:17:25,"Bought 0.000638 BTC/ZAR @ 470,000",Buy,be33830c,0.00063800,470000.00,299.86,0.00,0.00,0.00,0.01054554,5599.86
2021,B005,2021-01-11 20:20:22,"Bought 0.00086 BTC/ZAR @ 465,000",Buy,8d095a36,0.00086000,465000.00,399.90,0.00,0.00,0.00,0.01140554,5999.76
2021,S000,2021-01-14 07:11:16,"Sold 0.0025 BTC/ZAR @ 600,000",Sell,c1d43d7a,-0.00183333,545455.54,1000.00,1100.00,100.00,0.00,0.00957221,4999.76
2021,S000,2021-01-14 07:11:16,"Sold 0.0025 BTC/ZAR @ 600,000",Sell,f789f9f9,-0.00066667,550538.52,367.03,400.00,32.97,0.00,0.00890554,4632.73
2021,S001,2021-01-14 14:17:50,"Sold 0.002032 BTC/ZAR @ 615,000",Sell,f789f9f9,-0.00203200,550538.52,1118.69,1249.68,130.99,0.00,0.00687354,3514.04
2021,B006,2021-01-15 16:04:12,"Bought 0.004545 BTC/ZAR @ 550,000",Buy,7e55cacd,0.00454500,550000.00,2499.75,0.00,0.00,0.00,0.01141854,6013.79
2021,B007,2021-01-20 04:00:18,"Bought 0.00909 BTC/ZAR @ 550,000",Buy,d1e5e1e2,0.00909000,550000.00,4999.50,0.00,0.00,0.00,0.02050854,11013.29
2021,B008,2021-01-20 09:39:46,"Bought 0.003703 BTC/ZAR @ 540,000",Buy,3dc5dc9d,0.00370300,540000.00,1999.62,0.00,0.00,0.00,0.02421154,13012.91
2021,B009,2021-01-20 10:06:19,"Bought 0.002803 BTC/ZAR @ 535,000",Buy,08555a01,0.00280300,534998.22,1499.60,0.00,0.00,0.00,0.02701454,14512.51
2021,B010,2021-01-20 10:07:44,"Bought 0.004716 BTC/ZAR @ 530,000",Buy,d36ee76a,0.00471600,530000.00,2499.48,0.00,0.00,0.00,0.03173054,17011.99
