Financial Year,Trans Ref,Date,Description,Type,Lot Reference,Qty Change,Balance Units,Total Cost (ZAR),Balance Value (ZAR),Fee (ZAR),Proceeds (ZAR),Profit (ZAR),Unit Cost (ZAR)
FY2020,c1d43d7a,2021-01-06 12:57:12,"Bought BTC 0.00183333 for ZAR 1,000.00",in_buy,in_buy_560601209262e6,0.00183333,0.00183333,1000,999.999999999999999999938571,0,0,0,545455.5371918858034287
FY2020,f789f9f9,2021-01-06 14:19:35,"Bought BTC 0.00544921 for ZAR 3,000.00",in_buy,in_buy_f318fa082e39cf,0.00544921,0.00728254,3000,4009.318781988581831128140306,0,0,0,550538.5184274417759639
FY2020,e97af95a,2021-01-11 18:02:24,"Bought 0.002 BTC/ZAR @ 500,000",in_buy,in_buy_a1c32a06ad7c06,0.002,0.00928254,1000,4641.27,0,0,0,500000
FY2020,4a781f35,2021-01-11 21:18:58,"Bought 0.000625 BTC/ZAR @ 480,000",in_buy,in_buy_a8b1a67b8340bf,0.000625,0.00990754,300,4755.6192,0,0,0,480000
FY2020,be33830c,2021-01-11 22:17:25,"Bought 0.000638 BTC/ZAR @ 470,000",in_buy,in_buy_0283a36eb92eb3,0.000638,0.01054554,299.86,4956.4038,0,0,0,470000
FY2020,8d095a36,2021-01-11 22:20:22,"Bought 0.00086 BTC/ZAR @ 465,000",in_buy,in_buy_63987fc55ebf41,0.00086,0.01140554,399.9,5303.5761,0,0,0,465000
FY2020,74d12024,2021-01-14 09:11:16,"Sold 0.0025 BTC/ZAR @ 600,000",out_sell,in_buy_560601209262e6,-0.00183333,0.00957221,0,5221.214947663541206438236427,0,1099.998,99.998000000000000000061429,545455.5371918858034287
FY2020,74d12024,2021-01-14 09:11:16,"Sold 0.0025 BTC/ZAR @ 600,000",out_sell,in_buy_f318fa082e39cf,-0.00066667,0.00890554,0,4902.842797396319833517550006,0,400.002,32.974485919977391218146787,550538.5184274417759639
FY2020,23820644,2021-01-14 16:17:50,"Sold 0.002032 BTC/ZAR @ 615,000",out_sell,in_buy_f318fa082e39cf,-0.002032,0.00687354,0,3784.148527951758144758905206,0,1249.68,130.9857305554383112413552,550538.5184274417759639
FY2020,7e55cacd,2021-01-15 18:04:12,"Bought 0.004545 BTC/ZAR @ 550,000",in_buy,in_buy_89d50e9225c8d3,0.004545,0.01141854,2499.75,6280.197,0,0,0,550000
FY2020,d1e5e1e2,2021-01-20 06:00:18,"Bought 0.00909 BTC/ZAR @ 550,000",in_buy,in_buy_86067ed12c701f,0.00909,0.02050854,4999.5,11279.697,0,0,0,550000
FY2020,3dc5dc9d,2021-01-20 11:39:46,"Bought 0.003703 BTC/ZAR @ 540,000",in_buy,in_buy_050b6bbabdaa03,0.003703,0.02421154,1999.62,13074.2316,0,0,0,540000
FY2020,08555a01,2021-01-20 12:06:19,"Bought 0.002803 BTC/ZAR @ 535,000",in_buy,in_buy_28509dd39a1100,0.002803,0.02701454,1499.6,14452.730711380663574741429512,0,0,0,534998.2161969318587228
FY2020,d36ee76a,2021-01-20 12:07:44,"Bought 0.004716 BTC/ZAR @ 530,000",in_buy,in_buy_4bd45d1d2bd542,0.004716,0.03173054,2499.48,16817.1862,0,0,0,530000
FY2020,a97d1ceb,2021-01-21 10:39:28,"Bought 0.004761 BTC/ZAR @ 525,000",in_buy,in_buy_8d9c227cfaa482,0.004761,0.03649154,2499.52,19158.020176601554295316789918,0,0,0,524998.9498004620877967
FY2020,a2d39898,2021-01-21 10:58:22,"Bought 0.001923 BTC/ZAR @ 520,000",in_buy,in_buy_1ae1292523cba0,0.001923,0.03841454,999.96,19975.5608,0,0,0,520000
FY2020,8b0684da,2021-01-21 11:00:12,"Bought 0.001942 BTC/ZAR @ 515,000",in_buy,in_buy_0e177eeaa38c66,0.001942,0.04035654,1000.13,20783.6181,0,0,0,515000
FY2020,9549ea93,2021-01-21 11:13:10,"Bought 0.002941 BTC/ZAR @ 510,000",in_buy,in_buy_28499c53394cf5,0.002941,0.04329754,1499.91,22081.7454,0,0,0,510000
