Financial Year,Trans Ref,Date,Description,Type,Lot Reference,Qty Change,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR),Balance Units,Balance Value (ZAR)
2022,B_XRP_000,2021-04-18 17:46:58,Bought 337.00 XRP/ZAR @ 20.00,Buy,1c634e58,337.00000000,20.00,6740.00,0.00,0.00,0.00,337.00000000,6740.00
2022,S_XRP_000,2021-05-19 09:30:35,Sold 336.00 XRP/ZAR @ 21.01,Sell,1c634e58,-336.00000000,20.00,6720.00,7059.36,339.36,0.00,1.00000000,20.00
2022,S_XRP_000,2021-05-19 09:30:35,Fee for Sold 336.00 XRP/ZAR @ 21.01,Fee,,-0.33600000,,,,,7.05,0.66400000,12.95
2024,,2023-12-08 11:45:18,Received Ripple into Ripple from bittrex,Other,,749.80000000,,,,,,750.46400000,9352.56
2025,S_XRP_001,2024-12-05 07:44:47,Sold 194.00 XRP/ZAR @ 43.40,Sell,1c634e58,-1.00000000,20.00,20.00,43.40,23.40,0.00,749.46400000,9332.56
2025,S_XRP_001,2024-12-05 07:44:47,Sold 194.00 XRP/ZAR @ 43.40,Sell,N/A,-193.00000000,0.00,0.00,8376.20,8376.20,0.00,556.46400000,9332.56
2025,S_XRP_001,2024-12-05 07:44:47,Fee for Sold 194.00 XRP/ZAR @ 43.40,Fee,,-0.58200000,,,,,25.17,555.88200000,9307.39
2025,S_XRP_002,2024-12-05 07:44:51,Sold 554.00 XRP/ZAR @ 43.40,Sell,N/A,-554.00000000,0.00,0.00,24043.60,24043.60,0.00,1.88200000,9307.39
2025,S_XRP_002,2024-12-05 07:44:51,Fee for Sold 554.00 XRP/ZAR @ 43.40,Fee,,-1.66200000,,,,,71.88,0.22000000,9235.51
